subject,level,true_time,min_time,coco_count,rmi
46986,9,261.17446517944336,56.443729400634766,306,0.16531446293566976
46986,8,225.29342651367188,317.7226867675781,242,0.16971199608575405
46986,5,197.6824951171875,543.02752685546875,346,0.17161774073785674
46986,10,261.98089599609375,740.6953735351564,345,0.2633631038546489
46986,4,249.05401611328125,1002.6909790039064,285,0.32373540999303185
46986,7,165.7569580078125,1251.7449951171875,288,0.16380168801567563
46986,6,119.6829833984375,1417.4859619140625,246,0.2483790587120578
46986,1,196.7010498046875,1537.18505859375,344,0.18590507076845575
46986,2,134.3189697265625,1733.873046875,259,0.2610945231375348
46986,3,172.156005859375,1868.18994140625,344,0.259648667328368
47192,1,164.4317741394043,55.88663101196289,344,0.37264307129722063
47192,5,154.41490173339844,220.43490600585935,341,0.39385967135780664
47192,4,165.79782104492188,374.8497924804687,299,0.2682910871232328
47192,7,142.36529541015625,540.63128662109375,307,0.25671689033076195
47192,10,149.68145751953125,683.0125732421875,344,0.3803188015557988
47192,6,91.38232421875,832.677978515625,225,0.2846278111689047
47192,9,136.53173828125,924.0604248046876,302,0.40009449883818293
47192,8,112.7320556640625,1060.6080322265625,216,0.4974865242772868
47192,2,98.698974609375,1173.323974609375,226,0.41402213630909235
47192,3,147.5479736328125,1272.0389404296875,283,0.4429081996451356
47220,7,207.94811248779297,82.30680084228516,294,0.2019977763291836
47220,4,273.6713562011719,290.3716125488281,281,0.2468005836168432
47220,9,231.0224609375,564.026611328125,294,0.31048293604336763
47220,3,200.91796875,795.06500244140625,324,0.3453511988075936
47220,1,214.0953369140625,995.9835205078124,349,0.1911729721444928
47220,6,147.4569091796875,1210.06201171875,214,0.507176628043006
47220,5,175.361083984375,1357.5250244140625,348,0.30665887367472533
47220,10,223.2589111328125,1532.8800048828125,348,0.3706309319126926
47220,2,171.863037109375,1756.1739501953125,237,0.24014240641031737
47220,8,135.7779541015625,1928.02001953125,246,0.3144804595546079
47601,1,169.3000946044922,46.805999755859375,341,0.24007941954911238
47601,8,119.64900207519531,216.2223968505859,218,0.34562670373232607
47601,2,107.05020141601563,335.87109375,213,0.46506649992618343
47601,6,102.8988037109375,442.9216003417969,163,0.23363893425710747
47601,4,185.13287353515636,545.80511474609375,278,0.31585026237912084
47601,7,146.21722412109364,730.9697265625,304,0.265394406283582
47601,10,204.248779296875,877.1708984375,346,0.2917977596049459
47601,3,172.3330078125,1443.8189697265625,324,0.26719637875287683
47835,8,98.88297271728516,44.89752960205078,265,0.4535279899137562
47835,3,148.7994842529297,143.89720153808594,354,0.4537915887097065
47835,9,152.76611328125,292.69549560546875,363,0.42454147160222333
47835,2,118.58291625976563,445.4625854492187,296,0.5012365961417187
47835,10,138.06640625,564.04571533203125,347,0.6097939588488168
47835,5,106.93280029296875,702.111572265625,256,0.5373879438682811
47835,1,142.2830810546876,1004.2940063476564,349,0.5850605116814691
48109,5,144.09910202026364,58.7776985168457,349,0.35070534092382166
48109,6,94.00891113281253,202.9866943359375,237,0.37393142159191073
48109,10,159.48208618164063,296.9956970214844,346,0.3434101294782892
48109,4,162.86279296875,456.4778137207031,287,0.410701621729188
48109,7,131.05859375,619.33062744140625,318,0.4228563113982394
48109,1,145.22930908203114,750.389404296875,344,0.404406372671548
48109,3,143.66851806640636,895.62847900390625,337,0.3974993193275089
48109,8,116.6639404296875,1039.2969970703125,248,0.5155392794021989
48109,2,103.7310791015625,1155.9610595703125,271,0.37768432489050374
48109,9,165.4630126953125,1259.6820068359375,325,0.5178483775676248
48122,2,171.1833038330078,59.51499938964844,296,0.2658484569021018
48122,3,185.30178833007813,230.7985992431641,344,0.26092435339459885
48122,9,179.61459350585938,416.1163940429687,342,0.3738567962930266
48122,5,195.4678955078125,595.715087890625,348,0.5233759960867124
48122,6,144.8999023437501,791.19842529296875,292,0.22303378458355527
48122,4,211.28448486328114,936.0828857421876,351,0.43771903793248923
48122,8,140.134033203125,1147.384033203125,281,0.4627656538423054
48122,7,172.7669677734375,1287.5179443359375,224,0.24165587092791263
48122,1,227,1460.2679443359375,347,0.36639209186997657
48122,10,210.8670654296875,1687.2679443359375,344,0.32768635968960513
48262,10,287.0429801940918,62.3503303527832,348,0.3470165364343827
48262,1,187.06610107421875,349.602294921875,346,0.3360367500850945
48262,2,94.8330078125,536.559326171875,231,0.856263723805271
48262,3,250.432861328125,631.39227294921875,557,0.7798969585977749
48262,6,103.26599121093761,881.8253173828125,239,0.32529919356621484
48262,5,170.21575927734364,985.09130859375,349,0.3714450812076575
48262,8,139.2340087890625,1155.3070068359375,238,0.40676344923850505
48262,4,240.06591796875,1294.5570068359375,301,0.43446679753546247
48262,7,181.3990478515625,1534.623046875,326,0.3566519628677174
48262,9,329.448974609375,1716.0059814453125,342,0.7608101575722782
48464,6,112.64467239379883,51.05723190307617,238,0.4026256529505001
48464,1,192.9971923828125,163.8314971923828,345,0.42501889636937806
48464,8,135.89651489257813,356.7991943359375,272,0.44088733742215125
48464,4,163.83670043945313,492.7243957519531,312,0.6328223797790968
48464,10,204.13800048828125,656.53271484375,344,0.33616732921715164
48464,5,198.104736328125,860.698974609375,346,0.3596477100784956
48464,2,130.10498046875,1058.8089599609375,282,0.5640474850697508
48464,7,161.304931640625,1188.9129638671875,328,0.6560087745316499
48464,3,161.7120361328125,1350.2139892578125,320,0.6785501356308683
48464,9,158.0130615234375,1511.926025390625,323,0.534335440391196
48480,2,181.7029685974121,49.70132827758789,266,0.24040657668809795
48480,6,170.03799438476563,231.5363006591797,257,0.26492619612829127
48480,1,281.7400207519531,401.5752868652344,337,0.42142203552900226
48480,5,262.573974609375,683.28228759765625,344,0.3459472506759551
48480,7,286.93975830078125,945.8563232421876,268,0.3373073085766157
48480,10,312.10791015625,1232.7960205078125,307,0.3573423879035278
48480,3,294.6080322265625,1544.904052734375,273,0.50280607890478
48480,8,194.5369873046875,1839.5439453125,241,0.33481853242696413
48480,4,315.841064453125,2034.0489501953125,264,0.3643623688548092
48484,5,153.43497085571292,46.21892929077149,339,0.279520163586233
48484,8,122.46789550781247,199.76910400390625,227,0.3923654689437992
48484,10,167.434814453125,322.2367858886719,349,0.46411388011806254
48484,4,161.05081176757813,489.67230224609375,290,0.34225600781651955
48484,6,100.98419189453125,650.72412109375,243,0.38404659066488445
48484,3,141.73486328125,751.6920166015625,322,0.47040223714744467
48484,7,121.20050048828114,893.44287109375,286,0.32653115227341223
48484,9,145.2860107421876,1014.6279907226564,316,0.3936226331371131
48484,1,158.7669677734375,1159.927978515625,351,0.3241637238956414
48484,2,110.333984375,1318.697021484375,257,0.4387175465381963
48486,1,171.1659088134766,44.2156982421875,347,0.25040656711119347
48486,8,132.16468811035153,215.49769592285156,240,0.39027933023215233
48486,2,118.54879760742188,347.6636047363281,255,0.3298597720229035
48486,5,169.59930419921875,466.2119140625,347,0.3178134371723037
48486,7,145.49810791015625,635.8125,302,0.44217886808519935
48486,9,162.6488037109375,781.3095092773436,345,0.17742587790536535
48486,10,176.7147216796875,943.95751953125,345,0.17380417388247515
48486,3,163.4649658203125,1120.656005859375,345,0.25425035457023626
48486,4,178.1729736328125,1284.136962890625,315,0.34946107201247956
48486,6,109.216064453125,1462.2939453125,249,0.31917135758859394
48487,2,139.59896850585938,59.24433898925781,229,0.3675194465539334
48487,3,201.96800231933594,198.95030212402344,279,0.4192605888768961
48487,4,212.46200561523438,400.92529296875,277,0.30210044360959676
48487,5,187.60009765625,613.38128662109375,349,0.28962098808208525
48487,10,195.7818603515625,800.9813232421875,350,0.2761827549405005
48487,8,132.7337646484375,996.75531005859375,215,0.38730597634204045
48487,1,189.8189697265625,1129.489990234375,346,0.26774467965410365
48487,9,168.4420166015625,1319.321044921875,302,0.3412622416560205
48487,7,179.616943359375,1487.7640380859375,258,0.46085126274032273
48487,6,120.1619873046875,1667.3740234375,220,0.35634740753228966
48488,7,198.93267059326172,48.75572967529297,289,0.40234808696882773
48488,8,187.4650115966797,247.82179260253903,241,0.28844716728724484
48488,4,188.70040893554688,435.2539978027344,303,0.2971631713291143
48488,10,193.9490966796875,623.97021484375,348,0.25953475330712816
48488,1,196.6990966796876,817.91937255859375,347,0.3052451572858139
48488,3,176.04998779296864,1014.6190185546876,323,0.3147734878345987
48488,9,185.31494140625,1190.66796875,325,0.26436127725626535
48488,2,140.9500732421875,1375.967041015625,191,0.2623575824950122
48488,5,205.14892578125,1516.9320068359375,348,0.20039626348620654
48488,6,151.68310546875,1722.08203125,272,0.3033425260107798
48490,5,173.56666946411133,60.97903060913086,323,0.18510657530555719
48490,1,171.8001861572265,234.6623992919922,346,0.23843070082751328
48490,6,96.25,406.46099853515625,250,0.34319999498983167
48490,10,175.38269042968756,502.7120056152344,346,0.3292131410860867
48490,4,186.76654052734375,678.094970703125,288,0.26776442206002904
48490,2,122.98297119140625,864.901123046875,265,0.22673316162253887
48490,3,168.68292236328125,987.82843017578125,331,0.36149048001038553
48490,9,145.033935546875,1156.5279541015625,308,0.358839189083603
48490,7,147.8160400390625,1301.56005859375,314,0.4211843567179745
48490,8,122.800048828125,1449.3780517578125,245,0.37289297029823754
48494,4,171.78730010986328,45.14910125732422,297,0.40879113317409077
48494,8,117.90078735351563,217.05230712890625,237,0.68135703156174
48494,5,153.53622436523438,334.9383850097656,343,0.3109559546439251
48494,2,92.18389892578125,488.47369384765625,226,0.6398347346507206
48494,1,158.15325927734375,580.67388916015625,347,0.3949926228176801
48494,10,224.9862060546875,738.8106079101564,340,0.387377657120071
48494,3,144.05126953125,963.8131103515624,310,0.5260348664636598
48494,7,116.001953125,1107.864990234375,289,0.7733539494603936
