subject,level,x,y,rotation,time
48109,_tutorial,-0.95999908447265625,0,248,3.856800079345703
48109,_tutorial,-2.357450008392334,-0.2653912901878357,246,3.9667999744415283
48109,_tutorial,-2.373476028442383,-1.3234469890594482,169,4.066800117492676
48109,_tutorial,-1.417301058769226,-1.9783289432525635,104,4.166800022125244
48109,_tutorial,-0.2400932013988495,-1.782973051071167,73,4.276800155639648
48109,_tutorial,0.7585219740867615,-0.901496410369873,28,4.38670015335083
48109,_tutorial,0.49076271057128906,0.26276490092277527,339,4.486800193786621
48109,_tutorial,0.27777859568595886,1.435791015625,0,4.596799850463867
48109,_tutorial,0.27777859568595886,2.635791063308716,0,4.696899890899658
48109,_tutorial,1.4777790307998657,3.1157898902893066,86,5.136899948120117
48109,_tutorial,2.6777780055999756,3.1157898902893066,90,5.236999988555908
48109,_tutorial,4.078425884246826,3.4174981117248535,70,5.34689998626709
48109,_tutorial,5.145785808563232,3.9600770473480225,58,5.447199821472168
48109,_tutorial,6.068091869354248,4.723507881164551,44,5.557000160217285
48109,_tutorial,6.888912200927734,5.90235710144043,29,5.667099952697754
48109,_tutorial,7.372795104980469,6.999536991119385,26,5.777100086212158
48109,_tutorial,8.19250202178955,8.179300308227539,40,5.8871002197265625
48109,_tutorial,9.030252456665039,9.038190841674805,45,5.997200012207031
48109,_tutorial,9.834197044372559,9.926507949829102,37,6.107100009918213
48109,_tutorial,10.03678035736084,11.041560173034668,351,6.217100143432617
48109,_tutorial,9.6752166748046875,12.183219909667969,339,6.317200183868408
48109,_tutorial,9.424151420593262,13.594039916992188,358,6.427199840545654
48109,_tutorial,9.424151420593262,14.794039726257324,0,6.537199974060059
48109,_tutorial,9.424151420593262,16.234039306640625,0,6.647299766540527
48109,_tutorial,9.438596725463867,17.433610916137695,3,6.757299900054932
48109,_tutorial,9.716309547424316,18.597089767456055,20,6.8572998046875
48109,_tutorial,10.28579044342041,19.650049209594727,34,6.957399845123291
48109,_tutorial,11.360090255737305,20.592880249023438,59,7.067299842834473
48109,_tutorial,12.520830154418945,20.59178924560547,103,7.177299976348877
48109,_tutorial,13.15824031829834,19.843780517578125,151,7.277500152587891
48109,_tutorial,12.672719955444336,18.493310928344727,206,7.38730001449585
48109,_tutorial,12.051730155944824,17.46851921081543,216,7.497399806976318
48109,_tutorial,11.644800186157227,16.188539505004883,173,7.607500076293945
48109,_tutorial,12.008520126342773,15.051219940185547,154,7.707499980926514
48109,_tutorial,12.852120399475098,14.321330070495605,116,7.817399978637695
48109,_tutorial,14.019599914550781,14.58512020111084,72,7.917500019073486
48109,_tutorial,15.398550033569336,14.982549667358398,81,8.02750015258789
48109,_tutorial,16.581390380859375,14.806289672851563,105,8.137499809265137
48109,_tutorial,17.67399024963379,14.317350387573242,120,8.237600326538086
48109,_tutorial,18.64505958557129,13.614020347595215,127,8.337699890136719
48109,_tutorial,19.798049926757813,12.75570011138916,133,8.447600364685059
48109,_tutorial,19.84918975830078,11.630290031433105,192,8.547800064086914
48109,_tutorial,19.360769271850586,10.542960166931152,214,8.657600402832031
48109,_tutorial,18.034690856933594,10.577249526977539,287,8.767600059509277
48109,_tutorial,16.979839324951172,11.133649826049805,307,8.86769962310791
48109,_tutorial,16.25782012939453,12.080389976501465,333,8.977700233459473
48109,_tutorial,16.202869415283203,13.480589866638184,12,9.087699890136719
48109,_tutorial,16.63541030883789,14.596429824829102,27,9.197699546813965
48109,_tutorial,17.471120834350586,15.765080451965332,41,9.30780029296875
48109,_tutorial,18.2960205078125,16.636150360107422,41,9.417799949645996
