subject,level,total_time,total_distance,start_time,rmi
46986,1,196.5849609375,1989.2198891747112,1537.18505859375,0.18590507076845575
46986,2,134.2159423828125,1511.7425452559435,1733.873046875,0.2610945231375348
46986,3,172.0550537109375,1964.6632568418297,1868.18994140625,0.259648667328368
46986,4,248.93804931640614,2391.621526839643,1002.6909790039064,0.32373540999303185
46986,5,197.56658935546875,2150.1527203749083,543.02752685546875,0.17161774073785674
46986,6,119.5830078125,1199.332892641478,1417.4859619140625,0.2483790587120578
46986,7,165.6409912109375,1637.891634968475,1251.7449951171875,0.16380168801567563
46986,8,225.18893432617188,1965.4023446271237,317.7226867675781,0.16971199608575405
46986,9,261.17446517944336,2687.2773039919775,56.443729400634766,0.16531446293566976
46986,10,261.8796386718749,2388.693766745515,740.6953735351564,0.2633631038546489
47192,1,164.4317741394043,1863.0977480920371,55.88663101196289,0.37264307129722063
47192,2,98.5989990234375,1114.1892549935294,1173.323974609375,0.41402213630909235
47192,3,147.4320068359375,1544.3092757809711,1272.0389404296875,0.4429081996451356
47192,4,165.6813354492188,1913.7329670477889,374.8497924804687,0.2682910871232328
47192,5,154.29840087890628,1759.1149923401556,220.43490600585935,0.39385967135780664
47192,6,91.2822265625,1026.5300349594033,832.677978515625,0.2846278111689047
47192,7,142.26513671875,1538.6148098330452,540.63128662109375,0.25671689033076195
47192,8,112.615966796875,1215.2711305086245,1060.6080322265625,0.4974865242772868
47192,9,136.4315185546874,1553.492855862106,924.0604248046876,0.40009449883818293
47192,10,149.5653076171875,1695.607967544275,683.0125732421875,0.3803188015557988
47220,1,213.9785156250001,2417.3231971031673,995.9835205078124,0.1911729721444928
47220,2,171.72802734375,1639.1733332915865,1756.1739501953125,0.24014240641031737
47220,3,200.80169677734375,2100.2917799106735,795.06500244140625,0.3453511988075936
47220,4,273.5546569824219,2256.604195519118,290.3716125488281,0.2468005836168432
47220,5,175.2550048828125,1934.5778793822105,1357.5250244140625,0.30665887367472533
47220,6,147.35693359375,1294.830980362322,1210.06201171875,0.507176628043006
47220,7,207.94811248779297,2043.3163692178937,82.30680084228516,0.2019977763291836
47220,8,135.659912109375,1365.9515652958955,1928.02001953125,0.3144804595546079
47220,9,230.922119140625,2263.326267341108,564.026611328125,0.31048293604336763
47220,10,223.158935546875,2274.9963443614374,1532.8800048828125,0.3706309319126926
47601,1,169.3000946044922,1941.233276196934,46.805999755859375,0.24007941954911238
47601,2,106.9342041015625,1194.006140126855,335.87109375,0.46506649992618343
47601,3,172.217041015625,1945.506229857833,1443.8189697265625,0.26719637875287683
47601,4,185.0318603515626,2116.5102909461393,545.80511474609375,0.31585026237912084
47601,7,146.08447265625,1670.3431522103706,730.9697265625,0.265394406283582
47601,8,119.53269958496097,1368.0997783348275,216.2223968505859,0.34562670373232607
47601,10,204.132080078125,2295.7380507730713,877.1708984375,0.2917977596049459
47835,1,142.18304443359364,1554.0692925765939,1004.2940063476564,0.5850605116814691
47835,2,118.46643066406256,1265.2250538190535,445.4625854492187,0.5012365961417187
47835,3,148.6827850341797,1637.6082853002572,143.89720153808594,0.4537915887097065
47835,5,106.816650390625,1161.5695913239067,702.111572265625,0.5373879438682811
47835,8,98.88297271728516,1115.9265633454763,44.89752960205078,0.4535279899137562
47835,9,152.65060424804688,1676.7982206160427,292.69549560546875,0.42454147160222333
47835,10,137.94970703125,1503.0696031248137,564.04571533203125,0.6097939588488168
48109,1,145.12908935546864,1646.1646298789074,750.389404296875,0.404406372671548
48109,2,103.6209716796875,1172.9729637310245,1155.9610595703125,0.37768432489050374
48109,3,143.55853271484375,1641.664921744546,895.62847900390625,0.3974993193275089
48109,4,162.75277709960938,1874.5067380207906,456.4778137207031,0.410701621729188
48109,5,144.09910202026364,1644.244774683627,58.7776985168457,0.35070534092382166
48109,6,93.899017333984375,1000.1005253590546,202.9866943359375,0.37393142159191073
48109,7,130.95855712890625,1426.1009869943355,619.33062744140625,0.4228563113982394
48109,8,116.553955078125,1330.63171626015,1039.2969970703125,0.5155392794021989
48109,9,165.363037109375,1899.9946949956354,1259.6820068359375,0.5178483775676248
48109,10,159.37210083007813,1832.2036501614386,296.9956970214844,0.3434101294782892
48122,1,226.9000244140625,2485.3779374945625,1460.2679443359375,0.36639209186997657
48122,2,171.1833038330078,1892.97851963448,59.51499938964844,0.2658484569021018
48122,3,185.20149230957028,2077.3842559929685,230.7985992431641,0.26092435339459885
48122,4,211.1840820312499,2362.552864205698,936.0828857421876,0.43771903793248923
48122,5,195.36749267578125,2252.3168060432367,595.715087890625,0.5233759960867124
48122,6,144.7840576171876,1601.7849129523656,791.19842529296875,0.22303378458355527
48122,8,140.0169677734375,1590.2480302447702,1147.384033203125,0.4627656538423054
48122,9,179.49829101562506,2008.8642586156109,416.1163940429687,0.3738567962930266
48122,10,210.76708984375,2435.677429362028,1687.2679443359375,0.32768635968960513
48262,1,186.85711669921875,2119.3108254693234,349.602294921875,0.3360367500850945
48262,2,94.73309326171875,1078.5791449362205,536.559326171875,0.856263723805271
48262,3,250.3330078125,2912.6156510613064,631.39227294921875,0.7798969585977749
48262,4,239.949951171875,2553.1380965374033,1294.5570068359375,0.43446679753546247
48262,5,170.11572265625,1944.3731062814636,985.09130859375,0.3714450812076575
