subject,level,total_time,total_distance,rmi
48109,_level_1,145.12908935546864,1646.1646298789074,0.38892470449485916
48109,_level_10,159.37210083007813,1832.2036501614386,0.33537098889739947
48109,_level_2,103.6209716796875,1172.9729637310245,0.3630325906700236
48109,_level_3,143.55853271484375,1641.664921744546,0.3901972034204634
48109,_level_4,162.75277709960938,1874.5067380207906,0.4032317846590421
48109,_level_5,144.09910202026364,1644.244774683627,0.35202223267903376
48109,_level_6,93.899017333984375,1000.1005253590546,0.3780143943211399
48109,_level_7,130.95855712890625,1426.1009869943355,0.4124344718906734
48109,_level_8,116.553955078125,1330.63171626015,0.5206451557322582
48109,_level_9,165.363037109375,1899.9946949956354,0.5110314392572818
48122,_level_1,226.9000244140625,2485.3779374945625,0.3526930933223046
48122,_level_10,210.76708984375,2435.677429362028,0.3238778561531477
48122,_level_2,171.1833038330078,1892.97851963448,0.24518413709634768
48122,_level_3,185.20149230957028,2077.3842559929685,0.24713944229260332
48122,_level_4,211.1840820312499,2362.552864205698,0.4202204527195803
48122,_level_5,195.36749267578125,2252.3168060432367,0.5158874194269509
48122,_level_6,144.7840576171876,1601.7849129523656,0.2258632589576115
48122,_level_7,172.6500244140625,1824.534950668127,0.25356663088724996
48122,_level_8,140.0169677734375,1590.2480302447702,0.44917302025151473
48122,_level_9,179.49829101562506,2008.8642586156109,0.36792109482758384
48484,_level_1,158.6519775390625,1770.3207041782987,0.28472304300093376
48484,_level_10,167.31982421875,1931.3991198426402,0.447830552826489
48484,_level_2,110.2169189453125,1258.8452482847922,0.40303474705916487
48484,_level_3,141.63446044921875,1574.1970790833577,0.4587828040169858
48484,_level_4,160.93511962890625,1855.2241175557856,0.355435098031466
48484,_level_5,153.43497085571292,1766.8192278250567,0.26794605262331106
48484,_level_6,100.86749267578125,1143.0637590288977,0.3519574699267287
48484,_level_7,121.08410644531239,1324.3637069801746,0.3188916068428276
48484,_level_8,122.35269165039063,1396.6349875830674,0.38955480969586953
48484,_level_9,145.18499755859364,1666.3867054564384,0.3727409415155015
48487,_level_1,189.718017578125,2039.114746339235,0.25156623879257234
48487,_level_10,195.6739501953125,2053.4142882047518,0.2772121494444103
48487,_level_2,139.59896850585938,1482.107281162417,0.3229299953478503
48487,_level_3,201.8610076904297,2091.3864439443187,0.3837865240992496
48487,_level_4,212.3480224609375,2270.3764588716404,0.29370672257939834
48487,_level_5,187.49212646484375,2007.0730194214127,0.2744076146276022
48487,_level_6,120.054931640625,1232.6849759563586,0.3525667120111261
48487,_level_7,179.5029296875,1832.1197683476944,0.4445237971506
48487,_level_8,132.63372802734375,1407.3559689138294,0.33505579883857806
48487,_level_9,168.3289794921875,1837.9340179706112,0.31544393165904205
48508,_level_1,213.7349853515625,2355.675053378805,0.21656832813736404
48508,_level_10,255.62081909179688,2885.8988914490596,0.2086357217685153
48508,_level_2,153.37506103515625,1696.9266890427357,0.2279389656505213
48508,_level_3,192.0899658203125,2080.0375090545704,0.19987638814924913
48508,_level_4,276.06878662109375,2815.88687192643,0.2089182259674658
48508,_level_5,195.9895019531251,2207.88047050339,0.2658280444422183
48508,_level_6,245.785888671875,1343.5149645188148,0.24724644141436547
48508,_level_7,181.489013671875,1811.3803743305277,0.2400601524935051
48508,_level_8,146.5579833984375,1536.615241443597,0.2744503082121783
48508,_level_9,263.6358642578125,2741.20217074447,0.3092274726325055
48511,_level_1,212.34808349609364,2228.6820724553454,0.9024538005674958
48511,_level_10,276.8150634765625,2288.682006129069,0.7527540006373074
48511,_level_2,169.58251953125,1743.3831037579132,0.8333673903615588
48511,_level_3,193.882080078125,2083.347955763638,0.9580525403288449
48511,_level_4,333.3651657104492,2403.8772590166686,0.5298432672708979
48511,_level_5,220.54803466796875,2125.996510947987,0.8195663421987489
48511,_level_6,141.583984375,1490.5985037621897,0.8732108415934337
48511,_level_7,221.615966796875,2277.552310393195,0.8722289178833837
48511,_level_8,213.531494140625,1936.504032549742,0.5402680178438366
48511,_level_9,302.7490234375,1940.717549257555,0.6409530774772885
48527,_level_1,219.5169677734375,2492.6040373000833,0.4943312890432332
48527,_level_10,177.5728759765626,1980.2997954718642,0.5222060687473272
48527,_level_2,88.60801696777347,1003.0536079521057,0.7578400862536433
48527,_level_3,177.2269744873047,2042.532598262605,0.4600414201888572
48527,_level_4,185.5887451171875,2055.8482643561456,0.541832076365101
48527,_level_5,195.7659912109375,2270.8477249549014,0.5855981995797341
48527,_level_6,81.883026123046875,923.2036704245531,0.7419447418984684
48527,_level_7,136.39306640625,1563.5695832043427,0.6986130824863375
48527,_level_9,157.0050048828125,1798.0482823438902,0.6973380043093007
48540,_level_1,184.81634521484375,2111.4136533272363,0.22595734627717756
48540,_level_10,225.76629638671886,2622.3757175658434,0.2791720771702606
48540,_level_2,112.8499755859375,1276.284991268904,0.4578681987670008
48540,_level_3,156.7830810546875,1785.1407901991313,0.3510357812852549
48540,_level_4,186.5,2153.8183347004815,0.26313522151595836
48540,_level_5,159.94986724853518,1821.2963494612213,0.1965888715480456
48540,_level_6,96.2999267578125,1088.079301601993,0.3879743988984954
48540,_level_7,128.08209228515614,1424.6521020532655,0.30574705419005954
48540,_level_8,117.6329345703125,1323.9098774908878,0.6149534188712147
48540,_level_9,205.5500946044922,2255.2982275011973,0.27394823941337654
