subject,level,collection_num,obj_ID,point_value,distance,turning_angle,neighbor_value,used,time
48738.0,7.0,1,1,5,29.64964121052569,3.4493378691954275,0.613407053921902,0,612.5720825195312
48738.0,7.0,1,2,2,24.4076775628507,3.5656056445314768,0.682842712474619,0,612.5720825195312
48738.0,7.0,1,3,4,26.59009898038005,3.3887918571392426,0.8513997106635237,0,612.5720825195312
48738.0,7.0,1,4,5,29.467473654195917,3.242579893835793,0.682842712474619,0,612.5720825195312
48738.0,7.0,1,5,2,23.178188659236913,3.426124496747981,0.848528137423857,0,612.5720825195312
48738.0,7.0,1,6,4,25.952400068153644,3.2563143882360484,0.848528137423857,0,612.5720825195312
48738.0,7.0,1,7,1,18.554364646032038,3.6468655684345093,0.613407053921902,0,612.5720825195312
48738.0,7.0,1,8,1,19.80968185660611,3.4762446172904906,0.8513997106635237,0,612.5720825195312
48738.0,7.0,1,9,4,22.443754922790255,3.2743474698083754,0.848528137423857,0,612.5720825195312
48738.0,7.0,1,10,4,25.7879967195708,3.119690945980352,0.8513997106635237,0,612.5720825195312
48738.0,7.0,1,11,5,28.41970834914778,3.0344328193676797,0.613407053921902,0,612.5720825195312
48738.0,7.0,1,12,2,18.94511020741348,3.2990516801230036,0.848528137423857,0,612.5720825195312
48738.0,7.0,1,13,2,22.253445588163757,3.1162113241408402,0.848528137423857,0,612.5720825195312
48738.0,7.0,1,14,1,15.463255365795817,3.334912026085407,0.682842712474619,0,612.5720825195312
48738.0,7.0,1,15,1,18.719265644841297,3.1114177258842073,0.8513997106635237,0,612.5720825195312
48738.0,7.0,1,16,2,22.620997901429064,2.9593245358782765,0.682842712474619,0,612.5720825195312
48738.0,7.0,1,17,1,16.51796131959511,2.956517354956797,0.613407053921902,0,612.5720825195312
48738.0,7.0,1,18,5,24.343079964730872,1.656913654884903,0.613407053921902,0,612.5720825195312
48738.0,7.0,1,19,4,22.25204265445707,1.7775801638482216,0.8513997106635237,0,612.5720825195312
48738.0,7.0,1,20,2,18.27169292981508,1.6273675884409982,0.682842712474619,0,612.5720825195312
48738.0,7.0,1,21,5,26.57916556384153,1.8806373580674363,0.682842712474619,0,612.5720825195312
48738.0,7.0,1,22,2,18.80584209187889,1.8161887677272988,0.848528137423857,0,612.5720825195312
48738.0,7.0,1,23,4,23.237003605435152,1.927045743477061,0.848528137423857,0,612.5720825195312
48738.0,7.0,1,24,1,12.40995340166775,1.7403227510569346,0.613407053921902,0,612.5720825195312
48738.0,7.0,1,25,1,15.400194520641312,1.8719901917528416,0.8513997106635237,0,612.5720825195312
48738.0,7.0,1,26,4,19.96157887162018,1.988856432558365,0.848528137423857,0,612.5720825195312
48738.0,7.0,1,27,4,24.693385163282812,2.061639293652358,0.8513997106635237,0,612.5720825195312
48738.0,7.0,1,28,5,28.061046285986226,2.0978577255992468,0.613407053921902,0,612.5720825195312
48738.0,7.0,1,29,2,16.79198992188895,2.0744409643025,0.848528137423857,0,612.5720825195312
48738.0,7.0,1,30,2,21.63953708634135,2.1387292009564285,0.848528137423857,0,612.5720825195312
48738.0,7.0,1,31,1,13.801348485772213,2.198392235074981,0.682842712474619,0,612.5720825195312
48738.0,7.0,1,32,1,18.755688731690164,2.240298362950556,0.8513997106635237,0,612.5720825195312
48738.0,7.0,1,33,2,23.729190874835407,2.2646670421150072,0.682842712474619,0,612.5720825195312
48738.0,7.0,1,34,1,18.6773584836439,2.4275258164213214,0.613407053921902,0,612.5720825195312
48738.0,7.0,1,35,5,33.33045534932619,4.2751148412101525,0.613407053921902,0,612.5720825195312
48738.0,7.0,1,36,4,30.064121368616973,4.3148393165171095,0.8513997106635237,0,612.5720825195312
48738.0,7.0,1,37,2,28.55083244743057,4.152001812491786,0.682842712474619,0,612.5720825195312
48738.0,7.0,1,38,5,32.28858550467346,4.4586867022839005,0.682842712474619,0,612.5720825195312
48738.0,7.0,1,39,2,26.839245503143804,4.263816372909363,0.848528137423857,0,612.5720825195312
48738.0,7.0,1,40,4,28.879862523975117,4.427955026394796,0.848528137423857,0,612.5720825195312
48738.0,7.0,1,41,1,23.010820335901624,4.052047882777629,0.613407053921902,0,612.5720825195312
48738.0,7.0,1,42,1,23.703139131539476,4.199083772272622,0.8513997106635237,0,612.5720825195312
48738.0,7.0,1,43,4,25.50568887355908,4.389046980061477,0.848528137423857,0,612.5720825195312
48738.0,7.0,1,44,4,28.093442742755347,4.549043206744246,0.8513997106635237,0,612.5720825195312
48738.0,7.0,1,45,5,30.266854433496178,4.643159411701799,0.613407053921902,0,612.5720825195312
48738.0,7.0,1,46,2,22.18183649804246,4.3383813687143835,0.848528137423857,0,612.5720825195312
48738.0,7.0,1,47,2,24.61168890286821,4.525680024573251,0.848528137423857,0,612.5720825195312
48738.0,7.0,1,48,1,18.93482442318866,4.27010967621624,0.682842712474619,0,612.5720825195312
48738.0,7.0,1,49,1,21.147787973276525,4.494641416529365,0.8513997106635237,0,612.5720825195312
48738.0,7.0,1,50,2,24.205997116176327,4.669699115669397,0.682842712474619,0,612.5720825195312
48738.0,7.0,1,51,1,18.29374417761886,4.597688340573935,0.613407053921902,0,612.5720825195312
48738.0,7.0,1,52,5,12.425923388215674,0.24713257574968805,0.613407053921902,0,612.5720825195312
48738.0,7.0,1,53,2,7.298634937481334,0.5965542625049491,0.6466890965784271,0,612.5720825195312
48738.0,7.0,1,54,4,9.59017373024601,0.058928739097149574,0.8513997106635237,0,612.5720825195312
48738.0,7.0,1,55,5,13.441457971588429,-0.22285164240037103,0.682842712474619,0,612.5720825195312
48738.0,7.0,1,56,2,6.064352103854955,0.09327033910146243,0.848528137423857,1,612.5720825195312
48738.0,7.0,1,57,4,10.023857873354325,-0.3008847699164172,0.848528137423857,0,612.5720825195312
48738.0,7.0,1,58,1,3.0397941615815287,1.561722615951059,0.4815389220537701,0,612.5720825195312
48738.0,7.0,1,60,4,6.729239253321053,-0.4572317042848457,0.848528137423857,0,612.5720825195312
48738.0,7.0,1,61,4,11.575146701191928,-0.5969089168299959,0.8513997106635237,0,612.5720825195312
48738.0,7.0,1,62,5,15.027473949805689,-0.6405633600628251,0.613407053921902,0,612.5720825195312
48738.0,7.0,1,63,2,3.8842753753649153,5.412438064081474,0.848528137423857,0,612.5720825195312
48738.0,7.0,1,64,2,8.876314292393197,5.460475912888594,0.848528137423857,0,612.5720825195312
48738.0,7.0,1,65,1,3.145239172923996,4.3777217391318475,0.6466890965784271,0,612.5720825195312
48738.0,7.0,1,66,1,6.970931765594404,5.0795707189386725,0.8513997106635237,0,612.5720825195312
48738.0,7.0,1,67,2,11.717305573648346,5.2537547952809875,0.682842712474619,0,612.5720825195312
48738.0,7.0,1,68,1,8.981188663371261,4.7154620895868575,0.613407053921902,0,612.5720825195312
48738.0,7.0,2,1,5,31.945158315602857,3.4265766682559966,0.613407053921902,0,612.8305053710938
48738.0,7.0,2,2,2,26.61346872784412,3.528493278594876,0.682842712474619,0,612.8305053710938
48738.0,7.0,2,3,4,28.92310320452255,3.3684845455801184,0.8513997106635237,0,612.8305053710938
48738.0,7.0,2,4,5,31.856162358811968,3.2349825491261934,0.682842712474619,0,612.8305053710938
48738.0,7.0,2,5,2,25.490594776249083,3.39969017178204,0.848528137423857,0,612.8305053710938
48738.0,7.0,2,6,4,28.337953407020468,3.2466175746218826,0.848528137423857,0,612.8305053710938
48738.0,7.0,2,7,1,20.68710995374519,3.59067788027399,0.613407053921902,0,612.8305053710938
48738.0,7.0,2,8,1,22.090607622118757,3.4405522550296728,0.8513997106635237,0,612.8305053710938
48738.0,7.0,2,9,4,24.82466769900329,3.2615483956320515,0.848528137423857,0,612.8305053710938
48738.0,7.0,2,10,4,28.187467208272956,3.12155365125985,0.8513997106635237,0,612.8305053710938
48738.0,7.0,2,11,5,30.807007879596668,3.042763194577322,0.613407053921902,0,612.8305053710938
48738.0,7.0,2,12,2,21.318739395973008,3.2813957684287702,0.848528137423857,0,612.8305053710938
48738.0,7.0,2,13,2,24.65274489149104,3.118680058806845,0.848528137423857,0,612.8305053710938
48738.0,7.0,2,14,1,17.824510442109933,3.309039435972918,0.682842712474619,0,612.8305053710938
48738.0,7.0,2,15,1,21.11829429078996,3.1148445511163834,0.8513997106635237,0,612.8305053710938
48738.0,7.0,2,16,2,24.985026215794488,2.9767349063397184,0.682842712474619,0,612.8305053710938
48738.0,7.0,2,17,1,18.88213740345473,2.9799073699656153,0.613407053921902,0,612.8305053710938
48738.0,7.0,2,18,5,24.66567313305767,1.7540045848662666,0.613407053921902,0,612.8305053710938
48738.0,7.0,2,19,4,22.865753255388523,1.8804839330934255,0.8513997106635237,0,612.8305053710938
48738.0,7.0,2,20,2,18.56269082554533,1.7568113333992736,0.682842712474619,0,612.8305053710938
48738.0,7.0,2,21,5,27.406419926503293,1.964132991329601,0.682842712474619,0,612.8305053710938
48738.0,7.0,2,22,2,19.528158326306926,1.935688454768922,0.848528137423857,0,612.8305053710938
48738.0,7.0,2,23,4,24.178878155713438,2.020206096544495,0.848528137423857,0,612.8305053710938
48738.0,7.0,2,24,1,13.031378914844053,1.922863299206636,0.613407053921902,0,612.8305053710938
48738.0,7.0,2,25,1,16.274374436466378,2.0132901530152205,0.8513997106635237,0,612.8305053710938
