strategy,forager,level,collection_num,obj_ID,point_value,distance,turning_angle,neighbor_value,used,time
participant,46986,8,0,1,5,25.495097567963924,1.5222907145545133,0.3414213562373095,0,322.54669189453125
participant,46986,8,0,2,5,21.5,1.7196862744043937,0.613407053921902,0,322.54669189453125
participant,46986,8,0,3,5,22.073740054644116,1.4911896351125318,0.682842712474619,0,322.54669189453125
participant,46986,8,0,4,5,23.71181140275875,1.2843329992520913,0.8513997106635237,0,322.54669189453125
participant,46986,8,0,5,5,19.1637678967368,1.588858878330337,0.682842712474619,0,322.54669189453125
participant,46986,8,0,6,5,20.426698215815495,1.3437253205330881,0.848528137423857,0,322.54669189453125
participant,46986,8,0,7,5,16.867127793433,1.9287092172106584,0.848528137423857,0,322.54669189453125
participant,46986,8,0,8,5,16.5,1.7196862744043937,0.613407053921902,0,322.54669189453125
participant,46986,8,0,9,5,17.240939649566666,1.4254517092932062,0.8513997106635237,0,322.54669189453125
participant,46986,8,0,10,5,19.29378138157474,1.1748223589528504,0.848528137423857,0,322.54669189453125
participant,46986,8,0,11,5,21.319005605327842,1.0339567634981077,0.8513997106635237,0,322.54669189453125
participant,46986,8,0,12,5,14.221462653327892,1.5429774183343574,0.613407053921902,0,322.54669189453125
participant,46986,8,0,13,5,15.88238017426859,1.2278770984156955,0.848528137423857,0,322.54669189453125
participant,46986,8,0,14,5,11.5,1.7196862744043937,0.848528137423857,0,322.54669189453125
participant,46986,8,0,15,5,12.539936203984453,1.309558933862903,0.682842712474619,0,322.54669189453125
participant,46986,8,0,16,5,15.239750654128171,1.0039426847355137,0.8513997106635237,0,322.54669189453125
participant,46986,8,0,17,5,9.433981132056603,1.1610869590608313,0.682842712474619,1,322.54669189453125
participant,46986,8,0,18,5,40.21504693519579,2.390543741005161,0.613407053921902,0,322.54669189453125
participant,46986,8,0,19,5,43.900455578501685,2.642425715268776,0.37888543819998316,0,322.54669189453125
participant,46986,8,0,20,5,36.43144246389374,2.4759664562948034,0.3414213562373095,0,322.54669189453125
participant,46986,8,0,21,5,30.450779957170226,2.2347590914231756,0.482842712474619,0,322.54669189453125
participant,46986,8,0,22,5,36.908671067921155,2.6686583133687005,0.3414213562373095,0,322.54669189453125
participant,46986,8,0,23,5,29.364093720052047,2.4689555872890665,0.4242640687119285,0,322.54669189453125
participant,46986,8,0,24,5,43.26950427263987,2.899247022072116,0.4242640687119285,0,322.54669189453125
participant,46986,8,0,25,5,38.69431482789171,2.849952260582777,0.37888543819998316,0,322.54669189453125
participant,46986,8,0,26,5,29.95413160150032,2.7071095942054346,0.482842712474619,0,322.54669189453125
participant,46986,8,0,27,5,22.299103120977758,2.4575013345248586,0.4242640687119285,0,322.54669189453125
participant,46986,8,0,28,5,19.29378138157474,2.2645501898559375,0.482842712474619,0,322.54669189453125
participant,46986,8,0,29,5,32.12864765283469,2.924426085351872,0.4538461538461539,0,322.54669189453125
participant,46986,8,0,30,5,23.070543990118654,2.76864832138488,0.4242640687119285,0,322.54669189453125
participant,46986,8,0,31,5,35.59845502265512,3.10686027503001,0.4242640687119285,0,322.54669189453125
participant,46986,8,0,32,5,25.83118270617898,3.0361145426460245,0.3414213562373095,0,322.54669189453125
participant,46986,8,0,33,5,16.347782724271816,2.881574772248365,0.482842712474619,0,322.54669189453125
participant,46986,8,0,34,5,25.04495957273639,3.2305544460780826,0.3414213562373095,0,322.54669189453125
participant,46986,8,0,35,5,0.0,,0.4308640753373011,0,322.54669189453125
participant,46986,8,0,36,5,6.103277807866851,-2.3819767415910875,0.613407053921902,0,322.54669189453125
participant,46986,8,0,37,5,3.5,-1.4219063791853994,0.682842712474619,0,322.54669189453125
participant,46986,8,0,38,5,6.103277807866851,-0.4618360167797113,0.8513997106635237,0,322.54669189453125
participant,46986,8,0,39,5,6.5,-1.8166974988851607,0.682842712474619,0,322.54669189453125
participant,46986,8,0,40,5,6.5,-1.0271152594856376,0.848528137423857,0,322.54669189453125
participant,46986,8,0,41,5,12.020815280171307,-2.2073045425828477,0.848528137423857,0,322.54669189453125
participant,46986,8,0,42,5,9.86154146165801,-1.9536304464442051,0.613407053921902,0,322.54669189453125
participant,46986,8,0,43,5,8.5,-1.4219063791853994,0.8513997106635237,0,322.54669189453125
participant,46986,8,0,44,5,9.86154146165801,-0.8901823119265938,0.848528137423857,0,322.54669189453125
participant,46986,8,0,45,5,12.020815280171307,-0.636508215787951,0.8513997106635237,0,322.54669189453125
participant,46986,8,0,46,5,11.280514172678478,-1.6453829803260325,0.613407053921902,0,322.54669189453125
participant,46986,8,0,47,5,11.280514172678478,-1.1984297780447664,0.848528137423857,0,322.54669189453125
participant,46986,8,0,48,5,14.396180048887969,-1.7766120311963398,0.848528137423857,0,322.54669189453125
participant,46986,8,0,49,5,13.5,-1.4219063791853994,0.682842712474619,0,322.54669189453125
participant,46986,8,0,50,5,14.396180048887969,-1.067200727174459,0.8513997106635237,0,322.54669189453125
participant,46986,8,0,51,5,17.0,-1.4219063791853994,0.682842712474619,0,322.54669189453125
participant,46986,8,0,52,5,30.20347662107791,-2.876561079100306,0.613407053921902,0,322.54669189453125
participant,46986,8,0,53,5,40.893153461184674,-2.7833173130268007,0.4308640753373011,0,322.54669189453125
participant,46986,8,0,54,5,31.18092365533773,-2.7166056865848596,0.3414213562373095,0,322.54669189453125
participant,46986,8,0,55,5,21.73131381210073,-2.5908320585398394,0.482842712474619,0,322.54669189453125
participant,46986,8,0,56,5,37.51333096380539,-2.6245719346551324,0.3414213562373095,0,322.54669189453125
participant,46986,8,0,57,5,28.412145290350743,-2.497569442511892,0.4242640687119285,0,322.54669189453125
participant,46986,8,0,58,5,44.070965498840614,-2.5595025375486613,0.4242640687119285,0,322.54669189453125
participant,46986,8,0,59,5,35.245567097154215,-2.4401183556895822,0.382842712474619,0,322.54669189453125
participant,46986,8,0,60,5,27.244265451650556,-2.2462458856798873,0.4242640687119285,0,322.54669189453125
participant,46986,8,0,61,5,23.817010727629107,-2.1032046044732486,0.482842712474619,0,322.54669189453125
participant,46986,8,0,62,5,42.15744299646268,-2.4014106406131748,0.37888543819998316,0,322.54669189453125
participant,46986,8,0,63,5,34.311076928595526,-2.2382225221458905,0.4242640687119285,0,322.54669189453125
participant,46986,8,0,64,5,49.11466176204413,-2.373636651397668,0.4242640687119285,0,322.54669189453125
participant,46986,8,0,65,5,41.379342672401165,-2.2329399511045254,0.3414213562373095,0,322.54669189453125
participant,46986,8,0,66,5,34.81738071710737,-2.033808813620066,0.382842712474619,0,322.54669189453125
participant,46986,8,1,1,5,17.0,0.5585993153435624,0.2414213562373095,0,323.24560546875
participant,46986,8,1,2,5,14.396180048887969,0.9133049673545028,0.44956066981809384,0,323.24560546875
participant,46986,8,1,3,5,13.5,0.5585993153435624,0.482842712474619,0,323.24560546875
participant,46986,8,1,4,5,14.396180048887969,0.20389366333262227,0.5685569981889047,0,323.24560546875
participant,46986,8,1,5,5,11.280514172678478,0.7820759164841955,0.482842712474619,0,323.24560546875
participant,46986,8,1,6,5,11.280514172678478,0.3351227142029294,0.565685424949238,0,323.24560546875
participant,46986,8,1,7,5,12.020815280171307,1.3439974787410107,0.565685424949238,0,323.24560546875
participant,46986,8,1,8,5,9.86154146165801,1.0903233826023682,0.44956066981809384,0,323.24560546875
participant,46986,8,1,9,5,8.5,0.5585993153435624,0.5685569981889047,0,323.24560546875
participant,46986,8,1,10,5,9.86154146165801,0.026875248084756942,0.565685424949238,0,323.24560546875
participant,46986,8,1,11,5,12.020815280171307,-0.22679884805388584,0.5685569981889047,0,323.24560546875
participant,46986,8,1,12,5,6.5,0.953390435043324,0.44956066981809384,0,323.24560546875
participant,46986,8,1,13,5,6.5,0.1638081956438009,0.565685424949238,0,323.24560546875
participant,46986,8,1,14,5,6.103277807866851,1.5186696777492505,0.565685424949238,1,323.24560546875
participant,46986,8,1,15,5,3.5,0.5585993153435624,0.482842712474619,0,323.24560546875
participant,46986,8,1,16,5,6.103277807866851,-0.40147104706212555,0.5685569981889047,0,323.24560546875
participant,46986,8,1,17,5,0.0,,0.482842712474619,0,323.24560546875
participant,46986,8,1,18,5,38.108398024582456,1.4649002430437021,0.44956066981809384,0,323.24560546875
participant,46986,8,1,19,5,44.070965498840614,1.6961954737068243,0.2894427190999916,0,323.24560546875
participant,46986,8,1,20,5,35.245567097154215,1.5768112918477453,0.2414213562373095,0,323.24560546875
participant,46986,8,1,21,5,27.244265451650556,1.3829388218380503,0.3414213562373095,0,323.24560546875
participant,46986,8,1,22,5,37.51333096380539,1.7612648708132954,0.2414213562373095,0,323.24560546875
participant,46986,8,1,23,5,28.412145290350743,1.634262378670055,0.282842712474619,0,323.24560546875
participant,46986,8,1,24,5,45.79574216016157,1.9427063113242098,0.282842712474619,0,323.24560546875
participant,46986,8,1,25,5,40.893153461184674,1.9200102491849638,0.2894427190999916,0,323.24560546875
participant,46986,8,1,26,5,31.18092365533773,1.8532986227430226,0.3414213562373095,0,323.24560546875
participant,46986,8,1,27,5,21.73131381210073,1.7275249946980025,0.282842712474619,0,323.24560546875
participant,46986,8,1,28,5,17.240939649566666,1.6138466346794802,0.3414213562373095,0,323.24560546875
participant,46986,8,1,29,5,35.174564673923115,2.029726989647297,0.35384615384615387,0,323.24560546875
participant,46986,8,1,30,5,25.243811122728676,1.9902997006563878,0.282842712474619,0,323.24560546875
participant,46986,8,1,31,5,40.02811511925087,-4.116307228349466,0.282842712474619,0,323.24560546875
participant,46986,8,1,32,5,30.03747659175118,-4.103831269319185,0.2414213562373095,0,323.24560546875
participant,46986,8,1,33,5,20.05617112013158,-4.07892981733036,0.3414213562373095,0,323.24560546875
participant,46986,8,1,34,5,30.696090956341656,-3.9404210228893195,0.2414213562373095,0,323.24560546875
participant,46986,8,1,36,5,15.239750654128171,-3.298736927915111,0.3276927682076162,0,323.24560546875
participant,46986,8,1,37,5,12.539936203984453,-2.993120678787722,0.482842712474619,0,323.24560546875
participant,46986,8,1,38,5,11.5,-2.5829933382462307,0.565685424949238,0,323.24560546875
