subject,level,collection_num,choice,obj_ID,point_value,distance,turning_angle,neighbor_value,used,time
48626,6,1,59,1,1,27.357457586171023,2.774045221312245,0.613407053921902,0,221.7393035888672
48626,6,1,59,2,4,22.553613997297912,2.925751246349103,0.682842712474619,0,221.7393035888672
48626,6,1,59,3,2,24.12402208049276,2.721889013930451,0.8513997106635237,0,221.7393035888672
48626,6,1,59,4,1,26.55694595282169,2.54909618520023,0.682842712474619,0,221.7393035888672
48626,6,1,59,5,4,20.86062109978659,2.782533184757023,0.848528137423857,0,221.7393035888672
48626,6,1,59,6,2,23.096935936826153,2.578445789955585,0.848528137423857,0,221.7393035888672
48626,6,1,59,7,5,17.08216988842248,3.0636375677046823,0.613407053921902,0,221.7393035888672
48626,6,1,59,8,5,17.702050276666277,2.865221471223594,0.8513997106635237,0,221.7393035888672
48626,6,1,59,9,2,19.66381247364332,2.618088566960483,0.848528137423857,0,221.7393035888672
48626,6,1,59,10,2,22.58248121884751,2.4251358393266385,0.8513997106635237,0,221.7393035888672
48626,6,1,59,11,1,25.020601789331398,2.319446896270688,0.613407053921902,0,221.7393035888672
48626,6,1,59,12,4,16.274599605746673,2.6743646195685677,0.848528137423857,0,221.7393035888672
48626,6,1,59,13,4,19.056902406434254,2.4379164091181367,0.848528137423857,0,221.7393035888672
48626,6,1,59,14,5,12.963782768009073,2.759784432683767,0.682842712474619,0,221.7393035888672
48626,6,1,59,15,5,15.53584888756063,2.4564944555955095,0.8513997106635237,0,221.7393035888672
48626,6,1,59,16,4,19.096217888841466,2.2523276076585566,0.682842712474619,0,221.7393035888672
48626,6,1,59,17,5,13.015396898215386,2.285508521469612,0.613407053921902,0,221.7393035888672
48626,6,1,59,18,1,22.162781678110854,0.7330685323024042,0.613407053921902,0,221.7393035888672
48626,6,1,59,19,2,19.701546537027248,0.8522260420821024,0.8513997106635237,0,221.7393035888672
48626,6,1,59,20,4,16.274151251283747,0.6485650000835017,0.682842712474619,0,221.7393035888672
48626,6,1,59,21,1,23.69501789304326,0.9915897142311395,0.682842712474619,0,221.7393035888672
48626,6,1,59,22,4,16.175627580434128,0.8668223715796346,0.848528137423857,0,221.7393035888672
48626,6,1,59,23,2,20.247317467306406,1.0273473852217374,0.848528137423857,0,221.7393035888672
48626,6,1,59,24,5,10.177861435019596,0.6712521676946934,0.613407053921902,0,221.7393035888672
48626,6,1,59,25,5,12.655074843364305,0.8895472316857158,0.8513997106635237,0,221.7393035888672
48626,6,1,59,26,2,16.83608791531281,1.077683064837377,0.848528137423857,0,221.7393035888672
48626,6,1,59,27,2,21.371869204473715,1.1886568728068307,0.8513997106635237,0,221.7393035888672
48626,6,1,59,28,1,24.65398242057102,1.2416212574138596,0.613407053921902,0,221.7393035888672
48626,6,1,59,29,4,13.489026946462554,1.1532780721164861,0.848528137423857,0,221.7393035888672
48626,6,1,59,30,4,18.172968523699776,1.2650757316281422,0.848528137423857,0,221.7393035888672
48626,6,1,59,31,5,10.269071994715189,1.277416257060112,0.682842712474619,0,221.7393035888672
48626,6,1,59,32,5,15.124707489192435,1.3731641765602376,0.8513997106635237,0,221.7393035888672
48626,6,1,59,33,4,20.051426723169193,1.4221448951020663,0.682842712474619,0,221.7393035888672
48626,6,1,59,34,5,14.83977159098744,1.6065384509704719,0.613407053921902,0,221.7393035888672
48626,6,1,59,35,1,34.09132911629713,3.602736283732684,0.613407053921902,0,221.7393035888672
