nn_weight,ta_weight,clst_weight,pv_weight,obj_ID,x,y,point_value,time,dist,points,strategy,forager,level
2.025271209982657,0.0,0.0,1.0,23,17.5,-17.5,2.0,17.3409674545206,3.5355339059327378,90.0,nn,0,1
2.025271209982657,0.0,0.0,1.0,19,15.0,-20.0,2.0,17.648405185471276,3.5355339059327378,92.0,nn,0,1
2.025271209982657,0.0,0.0,1.0,18,15.0,-23.5,2.0,17.952753011558233,3.5,94.0,nn,0,1
2.025271209982657,0.0,0.0,1.0,20,10.0,-20.0,2.0,18.48347282093796,6.103277807866851,96.0,nn,0,1
2.025271209982657,0.0,0.0,1.0,22,12.5,-17.5,2.0,18.790910551888633,3.5355339059327378,98.0,nn,0,1
2.025271209982657,0.0,0.0,1.0,25,10.0,-15.0,2.0,19.098348282839307,3.5355339059327378,100.0,nn,0,1
2.025271209982657,0.0,0.0,1.0,24,6.5,-15.0,2.0,19.402696108926264,3.5,102.0,nn,0,1
2.025271209982657,0.0,0.0,1.0,31,10.0,-10.0,2.0,19.93341591830599,6.103277807866851,104.0,nn,0,1
2.025271209982657,0.0,0.0,1.0,29,12.5,-12.5,2.0,20.240853649256664,3.5355339059327378,106.0,nn,0,1
2.025271209982657,0.0,0.0,1.0,32,15.0,-10.0,2.0,20.54829138020734,3.5355339059327378,108.0,nn,0,1
2.025271209982657,0.0,0.0,1.0,34,15.0,-6.5,2.0,20.852639206294295,3.5,110.0,nn,0,1
2.025271209982657,0.0,0.0,1.0,33,20.0,-10.0,2.0,21.38335901567402,6.103277807866851,112.0,nn,0,1
2.025271209982657,0.0,0.0,1.0,30,17.5,-12.5,2.0,21.690796746624695,3.5355339059327378,114.0,nn,0,1
2.025271209982657,0.0,0.0,1.0,27,20.0,-15.0,2.0,21.99823447757537,3.5355339059327378,116.0,nn,0,1
2.025271209982657,0.0,0.0,1.0,28,23.5,-15.0,2.0,22.302582303662327,3.5,118.0,nn,0,1
2.025271209982657,0.0,0.0,1.0,21,20.0,-20.0,2.0,22.833302113042052,6.103277807866851,120.0,nn,0,1
2.025271209982657,0.0,0.0,1.0,23,17.5,-17.5,2.0,23.140739843992726,3.5355339059327378,122.0,nn,0,1
2.025271209982657,0.0,0.0,1.0,19,15.0,-20.0,2.0,23.4481775749434,3.5355339059327378,124.0,nn,0,1
2.025271209982657,0.0,0.0,1.0,18,15.0,-23.5,2.0,23.752525401030358,3.5,126.0,nn,0,1
2.025271209982657,0.0,0.0,1.0,20,10.0,-20.0,2.0,24.283245210410083,6.103277807866851,128.0,nn,0,1
2.025271209982657,0.0,0.0,1.0,22,12.5,-17.5,2.0,24.590682941360757,3.5355339059327378,130.0,nn,0,1
2.025271209982657,0.0,0.0,1.0,26,15.0,-15.0,2.0,24.898120672311432,3.5355339059327378,132.0,nn,0,1
2.025271209982657,0.0,0.0,1.0,25,10.0,-15.0,2.0,25.332903281007084,5.0,134.0,nn,0,1
2.025271209982657,0.0,0.0,1.0,24,6.5,-15.0,2.0,25.63725110709404,3.5,136.0,nn,0,1
2.025271209982657,0.0,0.0,1.0,31,10.0,-10.0,2.0,26.167970916473767,6.103277807866851,138.0,nn,0,1
2.025271209982657,0.0,0.0,1.0,29,12.5,-12.5,2.0,26.47540864742444,3.5355339059327378,140.0,nn,0,1
2.025271209982657,0.0,0.0,1.0,32,15.0,-10.0,2.0,26.782846378375115,3.5355339059327378,142.0,nn,0,1
2.025271209982657,0.0,0.0,1.0,34,15.0,-6.5,2.0,27.087194204462072,3.5,144.0,nn,0,1
2.025271209982657,0.0,0.0,1.0,33,20.0,-10.0,2.0,27.617914013841798,6.103277807866851,146.0,nn,0,1
2.025271209982657,0.0,0.0,1.0,30,17.5,-12.5,2.0,27.925351744792472,3.5355339059327378,148.0,nn,0,1
2.025271209982657,0.0,0.0,1.0,27,20.0,-15.0,2.0,28.232789475743147,3.5355339059327378,150.0,nn,0,1
2.025271209982657,0.0,0.0,1.0,28,23.5,-15.0,2.0,28.537137301830104,3.5,152.0,nn,0,1
2.025271209982657,0.0,0.0,1.0,21,20.0,-20.0,2.0,29.06785711120983,6.103277807866851,154.0,nn,0,1
2.025271209982657,0.0,0.0,1.0,23,17.5,-17.5,2.0,29.375294842160503,3.5355339059327378,156.0,nn,0,1
2.025271209982657,0.0,0.0,1.0,19,15.0,-20.0,2.0,29.682732573111178,3.5355339059327378,158.0,nn,0,1
2.025271209982657,0.0,0.0,1.0,18,15.0,-23.5,2.0,29.987080399198135,3.5,160.0,nn,0,1
2.025271209982657,0.0,0.0,1.0,20,10.0,-20.0,2.0,30.51780020857786,6.103277807866851,162.0,nn,0,1
2.025271209982657,0.0,0.0,1.0,22,12.5,-17.5,2.0,30.825237939528535,3.5355339059327378,164.0,nn,0,1
2.025271209982657,0.0,0.0,1.0,26,15.0,-15.0,2.0,31.13267567047921,3.5355339059327378,166.0,nn,0,1
2.025271209982657,0.0,0.0,1.0,25,10.0,-15.0,2.0,31.56745827917486,5.0,168.0,nn,0,1
2.025271209982657,0.0,0.0,1.0,24,6.5,-15.0,2.0,31.87180610526182,3.5,170.0,nn,0,1
2.025271209982657,0.0,0.0,1.0,31,10.0,-10.0,2.0,32.402525914641544,6.103277807866851,172.0,nn,0,1
