subject,level,obj_ID,point_value,x,y,new_x,new_y,time
48710,1,58,2,-6.5,-15,-6.5,-15,427.1610107421875
48710,1,52,2,-15,-23.5,-15,-23.5,428.54400634765625
48710,1,53,2,-15,-20,-15,-20,428.87799072265625
48710,1,60,2,-15,-15,-15,-15,429.3110046386719
48710,1,66,2,-15,-10,-15,-10,429.72698974609375
48710,1,68,2,-15,-6.5,-15,-6.5,430.010986328125
48710,1,67,2,-20,-10,-20,-10,430.260986328125
48710,1,61,2,-20,-15,-20,-15,430.7279968261719
48710,1,55,2,-20,-20,-20,-20,431.14300537109375
48710,1,54,2,-10,-20,-10,-20,431.9280090332031
48710,1,59,2,-12.5,-17.5,-10,-15,432.30999755859375
48710,1,56,2,-12.5,-17.5,-12.5,-17.5,432.3269958496094
48710,1,57,2,-17.5,-17.5,-17.5,-17.5,432.72601318359375
48710,1,64,2,-17.5,-12.5,-17.5,-12.5,432.927001953125
48710,1,63,2,-12.5,-12.5,-12.5,-12.5,433.22698974609375
48710,1,65,2,-10,-10,-10,-10,433.4440002441406
48710,1,25,2,10,-15,10,-15,435.3269958496094
48710,1,22,2,12.5,-17.5,12.5,-17.5,435.6109924316406
48710,1,20,2,10,-20,10,-20,435.8110046386719
48710,1,18,2,15,-23.5,15,-23.5,436.1780090332031
48710,1,21,2,20,-20,20,-20,436.6440124511719
48710,1,23,2,17.5,-17.5,17.5,-17.5,436.760986328125
48710,1,27,2,20,-15,20,-15,436.97698974609375
48710,1,26,2,15,-15,15,-15,437.177001953125
48710,1,29,2,12.5,-12.5,12.5,-12.5,437.5270080566406
48710,1,32,2,15,-10,15,-10,437.8269958496094
48710,1,33,2,20,-10,20,-10,438.260986328125
48710,1,28,2,23.5,-15,23.5,-15,439.0769958496094
48710,1,34,2,15,-6.5,15,-6.5,440.37701416015625
48710,1,17,2,15,6.5,15,6.5,441.4440002441406
48710,1,15,2,15,10,15,10,441.7430114746094
48710,1,12,2,12.5,12.5,12.5,12.5,442.04400634765625
48710,1,8,2,10,15,10,15,442.3429870605469
48710,1,5,2,12.5,17.5,12.5,17.5,442.54400634765625
48710,1,2,2,15,20,15,20,442.8599853515625
48710,1,6,2,17.5,17.5,17.5,17.5,443.0429992675781
48710,1,10,2,20,15,20,15,443.3429870605469
48710,1,13,2,17.5,12.5,17.5,12.5,443.5270080566406
48710,1,16,2,20,10,20,10,445.37701416015625
48710,1,11,2,23.5,15,23.5,15,445.8609924316406
48710,1,4,2,20,20,20,20,446.64300537109375
48710,1,3,2,12.5,17.5,10,20,447.8110046386719
48710,1,5,2,12.5,17.5,12.5,17.5,447.8269958496094
48710,1,8,2,10,15,10,15,448.05999755859375
48710,1,12,2,12.5,12.5,12.5,12.5,448.4100036621094
48710,1,14,2,10,10,10,10,448.4599914550781
48710,1,15,2,15,10,15,10,448.677001953125
48710,1,13,2,17.5,12.5,17.5,12.5,449.0769958496094
48710,1,6,2,17.5,17.5,17.5,17.5,449.510009765625
48710,1,2,2,15,20,15,20,449.760009765625
48710,1,41,2,-6.5,15,-6.5,15,451.5429992675781
48710,1,42,2,-10,15,-10,15,451.8429870605469
48710,1,39,2,-12.5,17.5,-12.5,17.5,452.1260070800781
48710,1,36,2,-15,20,-15,20,452.4100036621094
48710,1,40,2,-17.5,17.5,-17.5,17.5,452.62701416015625
48710,1,47,2,-17.5,12.5,-17.5,12.5,453.0769958496094
48710,1,51,2,-15,6.5,-15,6.5,453.72698974609375
48710,1,48,2,-10,10,-10,10,454.3599853515625
48710,1,46,2,-12.5,12.5,-12.5,12.5,454.6600036621094
48710,1,49,2,-15,10,-15,10,455.1260070800781
48710,1,35,2,-15,23.5,-15,23.5,456.0260009765625
48710,1,37,2,-10,20,-10,20,456.64300537109375
48710,1,42,2,-10,15,-10,15,457.05999755859375
48710,1,39,2,-12.5,17.5,-12.5,17.5,457.14300537109375
48710,1,40,2,-17.5,17.5,-17.5,17.5,457.64300537109375
48710,1,44,2,-20,15,-20,15,457.8259887695313
48710,1,45,2,-23.5,15,-23.5,15,457.97601318359375
48710,1,50,2,-20,10,-20,10,458.3259887695313
48710,1,68,2,-15,-6.5,-15,-6.5,460.4259948730469
48710,1,66,2,-15,-10,-15,-10,460.62701416015625
48710,1,60,2,-15,-15,-15,-15,461.0759887695313
48710,1,57,2,-17.5,-17.5,-17.5,-17.5,461.3259887695313
48710,1,55,2,-20,-20,-20,-20,461.6099853515625
48710,1,52,2,-15,-23.5,-15,-23.5,462.010009765625
48710,1,54,2,-10,-20,-10,-20,462.3760070800781
48710,1,59,2,-10,-15,-10,-15,462.7760009765625
48710,1,63,2,-12.5,-12.5,-12.5,-12.5,463.010009765625
48710,1,64,2,-17.5,-12.5,-17.5,-12.5,463.4599914550781
48710,1,61,2,-20,-15,-20,-15,463.5270080566406
48710,1,67,2,-20,-10,-20,-10,463.7430114746094
48710,1,57,2,-17.5,-17.5,-17.5,-17.5,466.3429870605469
48710,1,53,2,-15,-20,-15,-20,466.4089965820313
48710,1,56,2,-12.5,-17.5,-12.5,-17.5,466.5929870605469
48710,1,58,2,-6.5,-15,-6.5,-15,467.1589965820313
48710,1,25,2,10,-20,10,-15,468.8429870605469
48710,1,20,2,10,-20,10,-20,468.8590087890625
48710,1,19,2,15,-20,15,-20,469.1090087890625
48710,1,18,2,15,-23.5,15,-23.5,469.2430114746094
48710,1,26,2,15,-15,15,-15,470.3089904785156
