subject,level,obj_ID,point_value,x,y,new_x,new_y,time
48532,1,14,2,10,10,10,10,1406.1610107421875
48532,1,12,2,12.5,12.5,12.5,12.5,1406.4610595703125
48532,1,15,2,15,10,15,10,1406.843994140625
48532,1,16,2,20,10,20,10,1407.177978515625
48532,1,13,2,17.5,12.5,17.5,12.5,1407.22802734375
48532,1,10,2,20,15,20,15,1407.4610595703125
48532,1,6,2,17.5,17.5,17.5,17.5,1407.64501953125
48532,1,9,2,15,15,15,15,1407.760986328125
48532,1,2,2,15,20,15,20,1407.9439697265625
48532,1,5,2,12.5,17.5,12.5,17.5,1407.97705078125
48532,1,3,2,10,20,10,20,1408.260986328125
48532,1,17,2,15,6.5,15,6.5,1409.2110595703125
48532,1,34,2,15,-6.5,15,-6.5,1410.260986328125
48532,1,32,2,15,-10,15,-10,1410.56103515625
48532,1,29,2,12.5,-12.5,12.5,-12.5,1410.7769775390625
48532,1,26,2,15,-15,15,-15,1410.9610595703125
48532,1,22,2,12.5,-17.5,12.5,-17.5,1411.22705078125
48532,1,19,2,15,-20,15,-20,1411.4110107421875
48532,1,25,2,10,-15,10,-15,1412.010986328125
48532,1,54,2,-10,-20,-10,-20,1413.64501953125
48532,1,53,2,-15,-20,-15,-20,1414.06103515625
48532,1,55,2,-20,-20,-20,-20,1414.47802734375
48532,1,53,2,-15,-20,-15,-20,1419.0780029296875
48532,1,52,2,-15,-23.5,-15,-23.5,1419.3780517578125
48532,1,57,2,-17.5,-17.5,-17.5,-17.5,1419.6619873046875
48532,1,61,2,-20,-15,-20,-15,1419.9620361328125
48532,1,64,2,-17.5,-12.5,-17.5,-12.5,1420.0780029296875
48532,1,66,2,-15,-10,-15,-10,1420.3280029296875
48532,1,68,2,-15,-6.5,-15,-6.5,1420.72802734375
48532,1,51,2,-15,6.5,-15,6.5,1422.010986328125
48532,1,49,2,-15,10,-15,10,1422.22802734375
48532,1,46,2,-12.5,12.5,-12.5,12.5,1422.511962890625
48532,1,43,2,-15,15,-15,15,1422.7120361328125
48532,1,40,2,-17.5,17.5,-17.5,17.5,1423.010986328125
48532,1,36,2,-15,20,-15,20,1423.14501953125
48532,1,39,2,-12.5,17.5,-12.5,17.5,1423.177978515625
48532,1,37,2,-10,20,-10,20,1423.4119873046875
48532,1,7,2,6.5,15,6.5,15,1424.8289794921875
48532,1,8,2,10,15,10,15,1425.1280517578125
48532,1,5,2,12.5,17.5,12.5,17.5,1425.3280029296875
48532,1,2,2,15,20,15,20,1425.612060546875
48532,1,4,2,17.5,17.5,20,20,1426.06201171875
48532,1,6,2,17.5,17.5,17.5,17.5,1426.0780029296875
48532,1,9,2,15,15,15,15,1426.4620361328125
48532,1,13,2,17.5,12.5,17.5,12.5,1426.6290283203125
48532,1,15,2,15,10,15,10,1426.844970703125
48532,1,17,2,15,6.5,15,6.5,1427.1619873046875
48532,1,34,2,15,-6.5,15,-6.5,1428.22900390625
48532,1,32,2,15,-10,15,-10,1428.511962890625
48532,1,29,2,12.5,-12.5,12.5,-12.5,1428.7779541015625
48532,1,26,2,15,-15,15,-15,1429.2449951171875
48532,1,22,2,12.5,-17.5,12.5,-17.5,1429.279052734375
48532,1,19,2,15,-20,15,-20,1429.64501953125
48532,1,21,2,20,-20,20,-20,1430.112060546875
48532,1,27,2,20,-15,20,-15,1430.511962890625
48532,1,33,2,20,-10,20,-10,1430.9449462890625
48532,1,16,2,20,10,20,10,1432.6619873046875
48532,1,13,2,17.5,12.5,17.5,12.5,1432.9119873046875
48532,1,10,2,20,15,20,15,1433.14599609375
48532,1,11,2,23.5,15,23.5,15,1433.279052734375
48532,1,6,2,17.5,17.5,17.5,17.5,1433.64599609375
48532,1,2,2,15,20,15,20,1433.9119873046875
48532,1,5,2,12.5,17.5,12.5,17.5,1434.0789794921875
48532,1,9,2,15,15,15,15,1434.3790283203125
48532,1,12,2,12.5,12.5,12.5,12.5,1434.4119873046875
48532,1,15,2,15,10,15,10,1434.64599609375
48532,1,17,2,15,6.5,15,6.5,1434.9620361328125
48532,1,34,2,15,-6.5,15,-6.5,1436.06201171875
48532,1,32,2,15,-10,15,-10,1436.345947265625
48532,1,29,2,12.5,-12.5,12.5,-12.5,1436.612060546875
48532,1,25,2,10,-15,10,-15,1436.9119873046875
48532,1,22,2,12.5,-17.5,12.5,-17.5,1437.261962890625
48532,1,20,2,10,-20,10,-20,1437.3289794921875
48532,1,19,2,15,-20,15,-20,1437.5450439453125
48532,1,18,2,15,-23.5,15,-23.5,1437.7459716796875
48532,1,21,2,20,-20,20,-20,1438.0460205078125
48532,1,28,2,23.5,-15,23.5,-15,1438.529052734375
48532,1,33,2,20,-10,20,-10,1438.97900390625
48532,1,17,2,15,6.5,15,6.5,1440.5789794921875
48532,1,16,2,20,10,20,10,1441.0460205078125
48532,1,11,2,20,15,23.5,15,1441.530029296875
48532,1,10,2,20,15,20,15,1441.5460205078125
48532,1,6,2,17.5,17.5,17.5,17.5,1441.8289794921875
48532,1,4,2,20,20,20,20,1441.9620361328125
48532,1,13,2,17.5,12.5,17.5,12.5,1442.863037109375
48532,1,15,2,15,10,15,10,1443.1629638671875
48532,1,12,2,12.5,12.5,12.5,12.5,1443.4129638671875
48532,1,8,2,10,15,10,15,1443.7130126953125
48532,1,7,2,6.5,15,6.5,15,1443.9129638671875
48532,1,5,2,12.5,17.5,12.5,17.5,1444.1290283203125
48532,1,3,2,10,20,10,20,1444.178955078125
48532,1,2,2,15,20,15,20,1444.4129638671875
48532,1,9,2,15,15,15,15,1445.1300048828125
48532,1,14,2,10,10,10,10,1445.72900390625
48532,1,17,2,15,6.5,15,6.5,1446.2130126953125
48532,1,34,2,15,-6.5,15,-6.5,1447.262939453125
48532,1,32,2,15,-10,15,-10,1447.56298828125
48532,1,31,2,12.5,-12.5,10,-10,1447.8289794921875
48532,1,29,2,12.5,-12.5,12.5,-12.5,1447.845947265625
48532,1,25,2,10,-15,10,-15,1448.22998046875
48532,1,22,2,12.5,-17.5,12.5,-17.5,1448.4630126953125
48532,1,20,2,10,-20,10,-20,1448.5460205078125
48532,1,19,2,15,-20,15,-20,1448.7459716796875
48532,1,18,2,15,-23.5,15,-23.5,1448.9129638671875
48532,1,21,2,20,-20,20,-20,1449.2459716796875
48532,1,23,2,17.5,-17.5,17.5,-17.5,1449.3470458984375
48532,1,27,2,20,-15,20,-15,1449.56298828125
48532,1,30,2,17.5,-12.5,17.5,-12.5,1449.780029296875
48532,1,33,2,20,-10,20,-10,1449.97998046875
48532,1,17,2,15,6.5,15,6.5,1452.262939453125
48532,1,15,2,15,10,15,10,1452.5469970703125
48532,1,13,2,17.5,12.5,17.5,12.5,1452.762939453125
48532,1,12,2,12.5,12.5,12.5,12.5,1453.012939453125
48532,1,8,2,10,15,10,15,1453.280029296875
48532,1,5,2,12.5,17.5,12.5,17.5,1453.31298828125
48532,1,2,2,15,20,15,20,1453.5799560546875
48532,1,6,2,17.5,17.5,17.5,17.5,1453.8470458984375
48532,1,10,2,20,15,20,15,1454.14599609375
48532,1,16,2,20,10,20,10,1454.5799560546875
48532,1,34,2,15,-6.5,15,-6.5,1456.1300048828125
48532,1,32,2,15,-10,15,-10,1456.447021484375
48532,1,29,2,12.5,-12.5,12.5,-12.5,1456.72998046875
48532,1,25,2,10,-15,10,-15,1457.030029296875
48532,1,22,2,12.5,-17.5,12.5,-17.5,1457.22998046875
48532,1,19,2,15,-20,15,-20,1457.4969482421875
48532,1,18,2,15,-23.5,15,-23.5,1457.8299560546875
48532,1,21,2,20,-20,20,-20,1458.5799560546875
48532,1,27,2,20,-15,20,-15,1459.864013671875
48532,1,28,2,23.5,-15,23.5,-15,1460.030029296875
48532,1,26,2,15,-15,15,-15,1460.697021484375
48532,1,31,2,10,-10,10,-10,1461.364013671875
48532,1,34,2,15,-6.5,15,-6.5,1461.72998046875
48532,1,17,2,15,6.5,15,6.5,1462.8299560546875
48532,1,15,2,15,10,15,10,1463.14697265625
48532,1,12,2,12.5,12.5,12.5,12.5,1463.4300537109375
48532,1,8,2,10,15,10,15,1463.72998046875
48532,1,5,2,12.5,17.5,12.5,17.5,1463.8800048828125
48532,1,2,2,15,20,15,20,1464.14697265625
48532,1,6,2,17.5,17.5,17.5,17.5,1464.4969482421875
48532,1,4,2,20,20,20,20,1464.530029296875
48532,1,10,2,20,15,20,15,1464.7640380859375
48532,1,16,2,20,10,20,10,1465.197021484375
48532,1,9,2,15,15,15,15,1465.6300048828125
48532,1,14,2,10,10,10,10,1467.4639892578125
48532,1,65,2,-10,-10,-10,-10,1469.8299560546875
48532,1,63,2,-12.5,-12.5,-12.5,-12.5,1470.1300048828125
48532,1,60,2,-15,-15,-15,-15,1470.39697265625
48532,1,56,2,-12.5,-17.5,-12.5,-17.5,1470.6300048828125
48532,1,54,2,-10,-20,-10,-20,1470.89697265625
48532,1,52,2,-15,-23.5,-15,-23.5,1471.6300048828125
48532,1,53,2,-15,-20,-15,-20,1471.7969970703125
48532,1,57,2,-17.5,-17.5,-17.5,-17.5,1472.0479736328125
48532,1,64,2,-17.5,-12.5,-17.5,-12.5,1472.6309814453125
48532,1,66,2,-15,-10,-15,-10,1472.7969970703125
48532,1,68,2,-15,-6.5,-15,-6.5,1473.0799560546875
48532,1,51,2,-15,6.5,-15,6.5,1474.364990234375
48532,1,49,2,-15,10,-15,10,1474.5970458984375
48532,1,50,2,-20,10,-20,10,1474.89697265625
48532,1,44,2,-20,15,-20,15,1475.197021484375
48532,1,40,2,-17.5,17.5,-17.5,17.5,1475.39697265625
48532,1,36,2,-15,20,-15,20,1475.697021484375
48532,1,39,2,-12.5,17.5,-12.5,17.5,1475.7640380859375
48532,1,42,2,-10,15,-10,15,1476.06396484375
48532,1,46,2,-12.5,12.5,-12.5,12.5,1476.4300537109375
48532,1,48,2,-10,10,-10,10,1476.48095703125
48532,1,66,2,-15,-10,-15,-10,1478.364013671875
48532,1,64,2,-17.5,-12.5,-17.5,-12.5,1478.6639404296875
48532,1,61,2,-20,-15,-20,-15,1478.9639892578125
48532,1,57,2,-17.5,-17.5,-17.5,-17.5,1479.23095703125
48532,1,53,2,-15,-20,-15,-20,1479.531005859375
48532,1,52,2,-15,-23.5,-15,-23.5,1479.7640380859375
48532,1,54,2,-10,-20,-10,-20,1479.998046875
48532,1,56,2,-12.5,-17.5,-12.5,-17.5,1480.14697265625
48532,1,59,2,-10,-15,-10,-15,1480.3310546875
48532,1,63,2,-12.5,-12.5,-12.5,-12.5,1480.5479736328125
48532,1,65,2,-10,-10,-10,-10,1480.781005859375
48532,1,68,2,-15,-6.5,-15,-6.5,1481.14794921875
48532,1,51,2,-15,6.5,-15,6.5,1482.2650146484375
48532,1,49,2,-15,10,-15,10,1482.56494140625
48532,1,47,2,-17.5,12.5,-17.5,12.5,1482.8310546875
48532,1,44,2,-20,15,-20,15,1483.0980224609375
48532,1,40,2,-17.5,17.5,-17.5,17.5,1483.3480224609375
48532,1,36,2,-15,20,-15,20,1483.73095703125
48532,1,37,2,-10,20,-10,20,1484.1810302734375
48532,1,39,2,-12.5,17.5,-12.5,17.5,1484.2969970703125
48532,1,42,2,-10,15,-10,15,1484.531005859375
48532,1,48,2,-10,10,-10,10,1484.9649658203125
48532,1,46,2,-12.5,12.5,-12.5,12.5,1485.197998046875
48532,1,43,2,-15,15,-15,15,1485.48095703125
48532,1,50,2,-20,10,-20,10,1485.998046875
48532,1,68,2,-15,-6.5,-15,-6.5,1487.4310302734375
48532,1,67,2,-20,-10,-20,-10,1487.7979736328125
48532,1,64,2,-17.5,-12.5,-17.5,-12.5,1488.08203125
48532,1,61,2,-20,-15,-20,-15,1488.3819580078125
48532,1,57,2,-17.5,-17.5,-17.5,-17.5,1488.447998046875
48532,1,55,2,-20,-20,-20,-20,1488.6650390625
48532,1,52,2,-15,-23.5,-15,-23.5,1489.06494140625
48532,1,53,2,-15,-20,-15,-20,1489.0980224609375
48532,1,56,2,-12.5,-17.5,-12.5,-17.5,1489.3809814453125
