subject,level,obj_ID,point_value,x,y,new_x,new_y,time
48854,1,58,2,-6.5,-15,-6.5,-15,187.7404022216797
48854,1,59,2,-10,-15,-10,-15,187.94140625
48854,1,56,2,-12.5,-17.5,-12.5,-17.5,188.23989868164065
48854,1,53,2,-15,-20,-15,-20,188.54339599609375
48854,1,52,2,-15,-23.5,-15,-23.5,188.74110412597656
48854,1,55,2,-20,-20,-20,-20,189.0901031494141
48854,1,57,2,-17.5,-17.5,-17.5,-17.5,189.2911071777344
48854,1,61,2,-20,-15,-20,-15,189.4568023681641
48854,1,67,2,-20,-10,-20,-10,189.90769958496097
48854,1,66,2,-15,-10,-15,-10,190.20730590820313
48854,1,65,2,-10,-10,-10,-10,190.64210510253903
48854,1,63,2,-12.5,-12.5,-12.5,-12.5,191.1251983642578
48854,1,60,2,-15,-15,-15,-15,191.42449951171875
48854,1,54,2,-10,-20,-10,-20,191.89019775390625
48854,1,20,2,10,-20,10,-20,193.5249938964844
48854,1,19,2,15,-20,15,-20,193.9416961669922
48854,1,18,2,15,-23.5,15,-23.5,194.0404052734375
48854,1,21,2,20,-20,20,-20,194.5081024169922
48854,1,23,2,17.5,-17.5,17.5,-17.5,194.79150390625
48854,1,27,2,20,-15,20,-15,194.9239959716797
48854,1,30,2,17.5,-12.5,17.5,-12.5,195.20770263671875
48854,1,32,2,15,-10,15,-10,195.49110412597656
48854,1,29,2,12.5,-12.5,12.5,-12.5,195.9239044189453
48854,1,26,2,15,-15,15,-15,196.10740661621097
48854,1,22,2,12.5,-17.5,12.5,-17.5,196.39019775390625
48854,1,25,2,10,-15,10,-15,196.95950317382813
48854,1,24,2,6.5,-15,6.5,-15,196.99009704589844
48854,1,59,2,-10,-15,-10,-15,198.52439880371097
48854,1,56,2,-12.5,-17.5,-12.5,-17.5,198.8267059326172
48854,1,54,2,-10,-20,-10,-20,199.0240020751953
48854,1,52,2,-15,-23.5,-15,-23.5,199.69140625
48854,1,57,2,-17.5,-17.5,-17.5,-17.5,200.23980712890625
48854,1,55,2,-20,-20,-20,-20,200.32400512695313
48854,1,61,2,-20,-15,-20,-15,200.50779724121097
48854,1,64,2,-17.5,-12.5,-17.5,-12.5,200.8740997314453
48854,1,66,2,-15,-10,-15,-10,201.13999938964844
48854,1,68,2,-15,-6.5,-15,-6.5,201.3903961181641
48854,1,60,2,-15,-15,-15,-15,201.99119567871097
48854,1,31,2,10,-10,10,-10,204.86199951171875
48854,1,32,2,15,-10,15,-10,205.341796875
48854,1,30,2,17.5,-12.5,17.5,-12.5,205.62579345703125
48854,1,26,2,15,-15,15,-15,205.79139709472656
48854,1,22,2,12.5,-17.5,12.5,-17.5,206.05760192871097
48854,1,20,2,10,-20,10,-20,206.3415985107422
48854,1,19,2,15,-20,15,-20,206.55909729003903
48854,1,18,2,15,-23.5,15,-23.5,206.7071990966797
48854,1,21,2,20,-20,20,-20,207.20919799804688
48854,1,27,2,20,-15,20,-15,207.65789794921875
48854,1,29,2,12.5,-12.5,12.5,-12.5,208.33970642089844
48854,1,25,2,10,-15,10,-15,208.60740661621097
48854,1,24,2,6.5,-15,6.5,-15,209.00830078125
48854,1,58,2,-6.5,-15,-6.5,-15,210.1080017089844
48854,1,59,2,-10,-15,-10,-15,210.39019775390625
48854,1,54,2,-10,-20,-10,-20,210.6938018798828
48854,1,52,2,-15,-23.5,-15,-23.5,211.4069061279297
48854,1,55,2,-20,-20,-20,-20,211.9073944091797
48854,1,57,2,-17.5,-17.5,-17.5,-17.5,211.95919799804688
48854,1,61,2,-20,-15,-20,-15,212.24119567871097
48854,1,64,2,-17.5,-12.5,-17.5,-12.5,212.5247039794922
48854,1,66,2,-15,-10,-15,-10,212.82449340820313
48854,1,63,2,-10,-10,-12.5,-12.5,213.20770263671875
48854,1,65,2,-10,-10,-10,-10,213.22369384765625
48854,1,31,2,10,-10,10,-10,215.02389526367188
48854,1,29,2,12.5,-12.5,12.5,-12.5,215.25819396972656
48854,1,32,2,15,-10,15,-10,215.65789794921875
48854,1,30,2,17.5,-12.5,17.5,-12.5,215.72369384765625
48854,1,33,2,20,-10,20,-10,215.9573974609375
48854,1,27,2,20,-15,20,-15,216.19189453125
48854,1,23,2,17.5,-17.5,17.5,-17.5,216.44329833984375
48854,1,22,2,12.5,-17.5,12.5,-17.5,216.89210510253903
48854,1,20,2,10,-20,10,-20,217.2902069091797
48854,1,53,2,-15,-20,-15,-20,219.35769653320313
48854,1,57,2,-17.5,-17.5,-17.5,-17.5,219.6416015625
48854,1,61,2,-20,-15,-20,-15,219.94259643554688
48854,1,64,2,-17.5,-12.5,-17.5,-12.5,220.10740661621097
48854,1,63,2,-12.5,-12.5,-12.5,-12.5,220.44140625
48854,1,59,2,-10,-15,-10,-15,220.65809631347656
48854,1,54,2,-10,-20,-10,-20,221.02859497070313
48854,1,56,2,-12.5,-17.5,-12.5,-17.5,221.45750427246097
48854,1,60,2,-15,-15,-15,-15,221.62399291992188
48854,1,65,2,-10,-10,-10,-10,222.2241973876953
48854,1,31,2,10,-10,10,-10,223.99119567871097
48854,1,34,2,15,-6.5,15,-6.5,224.49180603027344
48854,1,33,2,20,-10,20,-10,224.9073944091797
48854,1,30,2,17.5,-12.5,17.5,-12.5,225.1074981689453
48854,1,27,2,20,-15,20,-15,225.24139404296875
48854,1,26,2,15,-15,15,-15,225.49090576171875
48854,1,22,2,12.5,-17.5,12.5,-17.5,225.7572021484375
48854,1,25,2,10,-15,10,-15,226.09080505371097
48854,1,29,2,12.5,-12.5,12.5,-12.5,226.49119567871097
48854,1,32,2,15,-10,15,-10,226.74099731445313
48854,1,19,2,15,-20,15,-20,227.55709838867188
48854,1,18,2,15,-23.5,15,-23.5,227.8415985107422
48854,1,20,2,10,-20,10,-20,228.20750427246097
48854,1,24,2,6.5,-15,6.5,-15,228.79139709472656
48854,1,58,2,-6.5,-15,-6.5,-15,229.69039916992188
48854,1,59,2,-10,-15,-10,-15,229.9918975830078
48854,1,56,2,-12.5,-17.5,-12.5,-17.5,230.1916046142578
48854,1,53,2,-15,-20,-15,-20,230.4573974609375
48854,1,57,2,-17.5,-17.5,-17.5,-17.5,230.8415069580078
48854,1,61,2,-20,-15,-20,-15,231.12359619140625
48854,1,64,2,-17.5,-12.5,-17.5,-12.5,231.35769653320313
48854,1,66,2,-15,-10,-15,-10,231.64199829101565
48854,1,63,2,-12.5,-12.5,-12.5,-12.5,231.93980407714844
48854,1,60,2,-15,-15,-15,-15,232.1063995361328
48854,1,67,2,-20,-10,-20,-10,232.9571075439453
48854,1,68,2,-15,-6.5,-15,-6.5,233.45689392089844
48854,1,65,2,-10,-10,-10,-10,233.99200439453125
48854,1,24,2,6.5,-15,6.5,-15,235.5081024169922
48854,1,31,2,10,-10,10,-10,236.0092010498047
48854,1,32,2,15,-10,15,-10,236.5074005126953
48854,1,30,2,17.5,-12.5,17.5,-12.5,236.79150390625
48854,1,27,2,20,-15,20,-15,237.1578063964844
48854,1,23,2,17.5,-17.5,17.5,-17.5,237.4394073486328
48854,1,19,2,15,-20,15,-20,237.7400054931641
48854,1,22,2,12.5,-17.5,12.5,-17.5,238.12420654296875
48854,1,20,2,10,-20,10,-20,238.1584014892578
48854,1,25,2,10,-15,10,-15,238.4078063964844
48854,1,29,2,12.5,-12.5,12.5,-12.5,238.65719604492188
48854,1,26,2,15,-15,15,-15,238.9241943359375
48854,1,54,2,-10,-20,-10,-20,241.15719604492188
48854,1,53,2,-15,-20,-15,-20,241.5906982421875
48854,1,55,2,-20,-20,-20,-20,241.99349975585935
48854,1,61,2,-20,-15,-20,-15,242.2904052734375
48854,1,64,2,-17.5,-12.5,-17.5,-12.5,242.6416931152344
48854,1,66,2,-15,-10,-15,-10,242.9078063964844
48854,1,63,2,-10,-10,-12.5,-12.5,243.3401031494141
48854,1,65,2,-10,-10,-10,-10,243.3572998046875
48854,1,59,2,-10,-15,-10,-15,243.60769653320313
48854,1,56,2,-12.5,-17.5,-12.5,-17.5,243.9069976806641
48854,1,57,2,-17.5,-17.5,-17.5,-17.5,244.4071044921875
48854,1,60,2,-15,-15,-15,-15,244.59190368652344
48854,1,58,2,-6.5,-15,-6.5,-15,245.35699462890625
48854,1,31,2,10,-10,10,-10,246.7899932861328
48854,1,29,2,12.5,-12.5,12.5,-12.5,247.02349853515625
48854,1,32,2,15,-10,15,-10,247.22320556640625
48854,1,33,2,20,-10,20,-10,247.6436004638672
48854,1,27,2,20,-15,20,-15,247.94110107421875
48854,1,23,2,17.5,-17.5,17.5,-17.5,248.2086944580078
48854,1,21,2,20,-20,20,-20,248.40789794921875
48854,1,18,2,15,-23.5,15,-23.5,248.7570953369141
48854,1,20,2,10,-20,10,-20,249.1407012939453
48854,1,25,2,10,-15,10,-15,249.52349853515625
48854,1,30,2,17.5,-12.5,17.5,-12.5,250.1739044189453
48854,1,26,2,15,-15,15,-15,250.3238983154297
48854,1,22,2,12.5,-17.5,12.5,-17.5,250.60690307617188
48854,1,24,2,6.5,-15,6.5,-15,251.20700073242188
48854,1,63,2,-12.5,-12.5,-12.5,-12.5,252.84129333496097
48854,1,64,2,-17.5,-12.5,-17.5,-12.5,253.2570953369141
48854,1,61,2,-20,-15,-20,-15,253.5569000244141
48854,1,55,2,-20,-20,-20,-20,254.0240020751953
48854,1,53,2,-15,-20,-15,-20,254.34109497070313
48854,1,54,2,-10,-20,-10,-20,254.79049682617188
48854,1,59,2,-10,-15,-10,-15,255.03990173339844
48854,1,60,2,-15,-15,-15,-15,255.33999633789065
48854,1,57,2,-17.5,-17.5,-17.5,-17.5,255.6407928466797
48854,1,58,2,-6.5,-15,-6.5,-15,256.7572021484375
48854,1,24,2,6.5,-15,6.5,-15,258.20709228515625
48854,1,31,2,10,-10,10,-10,258.3916931152344
48854,1,29,2,12.5,-12.5,12.5,-12.5,258.4233093261719
48854,1,32,2,15,-10,15,-10,258.6571960449219
48854,1,30,2,17.5,-12.5,17.5,-12.5,259.04119873046875
48854,1,33,2,20,-10,20,-10,259.0907897949219
48854,1,27,2,20,-15,20,-15,259.4071960449219
48854,1,23,2,17.5,-17.5,17.5,-17.5,259.6571960449219
48854,1,21,2,20,-20,20,-20,259.84210205078125
48854,1,18,2,15,-23.5,15,-23.5,260.22320556640625
48854,1,20,2,10,-20,10,-20,260.62359619140625
48854,1,22,2,12.5,-17.5,12.5,-17.5,260.94061279296875
48854,1,25,2,10,-15,10,-15,260.9902038574219
48854,1,26,2,15,-15,15,-15,261.2237854003906
48854,1,65,2,-10,-10,-10,-10,263.3898010253906
48854,1,63,2,-12.5,-12.5,-12.5,-12.5,263.7066955566406
48854,1,66,2,-15,-10,-15,-10,263.806884765625
48854,1,64,2,-17.5,-12.5,-17.5,-12.5,264.0232849121094
48854,1,61,2,-20,-15,-20,-15,264.3414001464844
48854,1,57,2,-17.5,-17.5,-17.5,-17.5,264.5234069824219
48854,1,53,2,-15,-20,-15,-20,264.8240051269531
48854,1,54,2,-10,-20,-10,-20,265.30828857421875
48854,1,56,2,-12.5,-17.5,-12.5,-17.5,265.5409851074219
48854,1,59,2,-10,-15,-10,-15,265.6236877441406
48854,1,60,2,-15,-15,-15,-15,265.8406066894531
