strategy,forager,level,collection_num,obj_ID,point_value,distance,turning_angle,neighbor_value,used,time
ta,63,7,0,1,5.0,42.2965719651132,2.691977880273504,0.2857142857142857,0,2.4242785842522867
ta,63,7,0,2,5.0,39.777506206397604,2.8276126706710003,0.2857142857142857,0,2.4242785842522867
ta,63,7,0,3,5.0,38.82331773560833,2.7026352112433862,0.282842712474619,0,2.4242785842522867
ta,63,7,0,4,5.0,38.5,2.5734879211153663,0.2857142857142857,0,2.4242785842522867
ta,63,7,0,5,5.0,36.77295201639379,2.7788833103051336,0.282842712474619,0,2.4242785842522867
ta,63,7,0,6,5.0,36.08670115153226,2.6428210548035747,0.282842712474619,0,2.4242785842522867
ta,63,7,0,7,5.0,36.1178626167164,2.9565649866523738,0.282842712474619,0,2.4242785842522867
ta,63,7,0,8,5.0,34.96069221282668,2.8635748534363943,0.2857142857142857,0,2.4242785842522867
ta,63,7,0,9,5.0,33.8710791088799,2.7216479418471975,0.2857142857142857,0,2.4242785842522867
ta,63,7,0,10,5.0,33.5,2.5734879211153663,0.282842712474619,0,2.4242785842522867
ta,63,7,0,11,5.0,33.68233958619858,2.469387983005767,0.2857142857142857,0,2.4242785842522867
ta,63,7,0,12,5.0,31.894356867634123,2.810862168088537,0.2857142857142857,0,2.4242785842522867
ta,63,7,0,13,5.0,31.100643080167973,2.653958932380827,0.282842712474619,0,2.4242785842522867
ta,63,7,0,14,5.0,30.20347662107791,2.9109439903431475,0.282842712474619,0,2.4242785842522867
ta,63,7,0,15,5.0,28.935272592460574,2.7471591194569402,0.282842712474619,0,2.4242785842522867
ta,63,7,0,16,5.0,28.5,2.5734879211153663,0.2857142857142857,0,2.4242785842522867
ta,63,7,0,17,5.0,25.495097567963924,2.7708834809652467,0.282842712474619,0,2.4242785842522867
ta,63,7,0,18,5.0,0.0,,0.2857142857142857,0,2.4242785842522867
ta,63,7,0,19,5.0,3.5,2.5734879211153663,0.2857142857142857,0,2.4242785842522867
ta,63,7,0,20,5.0,6.103277807866851,3.533558283521054,0.2857142857142857,0,2.4242785842522867
ta,63,7,0,21,5.0,6.103277807866851,1.6134175587096782,0.282842712474619,1,2.4242785842522867
ta,63,7,0,22,5.0,6.5,2.9682790408151276,0.282842712474619,0,2.4242785842522867
ta,63,7,0,23,5.0,6.5,2.1786968014156045,0.282842712474619,0,2.4242785842522867
ta,63,7,0,24,5.0,12.020815280171307,3.3588860845128146,0.282842712474619,0,2.4242785842522867
ta,63,7,0,25,5.0,9.86154146165801,3.1052119883741716,0.2857142857142857,0,2.4242785842522867
ta,63,7,0,26,5.0,8.5,2.5734879211153663,0.2857142857142857,0,2.4242785842522867
ta,63,7,0,27,5.0,9.86154146165801,2.0417638538565606,0.282842712474619,0,2.4242785842522867
ta,63,7,0,28,5.0,12.020815280171307,1.7880897577179178,0.2857142857142857,0,2.4242785842522867
ta,63,7,0,29,5.0,11.280514172678478,2.7969645222559993,0.2857142857142857,0,2.4242785842522867
ta,63,7,0,30,5.0,11.280514172678478,2.3500113199747332,0.282842712474619,0,2.4242785842522867
ta,63,7,0,31,5.0,14.396180048887969,2.9281935731263067,0.282842712474619,0,2.4242785842522867
ta,63,7,0,32,5.0,13.5,2.5734879211153663,0.282842712474619,0,2.4242785842522867
ta,63,7,0,33,5.0,14.396180048887969,2.218782269104426,0.2857142857142857,0,2.4242785842522867
ta,63,7,0,34,5.0,17.0,2.5734879211153663,0.282842712474619,0,2.4242785842522867
ta,63,7,0,35,5.0,55.758407437802596,3.141592653589793,0.2857142857142857,0,2.4242785842522867
ta,63,7,0,36,5.0,52.84174486142561,3.1772372545128027,0.2857142857142857,0,2.4242785842522867
ta,63,7,0,37,5.0,50.172203459684724,3.095106218211753,0.2857142857142857,0,2.4242785842522867
ta,63,7,0,38,5.0,55.832338299591214,3.251026058840731,0.282842712474619,0,2.4242785842522867
ta,63,7,0,39,5.0,49.36851223198852,3.164299506038982,0.282842712474619,0,2.4242785842522867
ta,63,7,0,40,5.0,52.31873469418006,3.2437512813221536,0.282842712474619,0,2.4242785842522867
